Category,Rating,Reviews,Size,Type,Price,Content Rating,Genres,days_since_update
FOOD_AND_DRINK,4.3,511228,Varies with device,Free,0.0,Everyone,Food & Drink,30
GAME,4.3,3,30.1-40MB,Free,0.0,Mature 17+,Action,343
BEAUTY,3.9,2277,20.1-30MB,Free,0.0,Everyone,Beauty,50
FAMILY,4.3,1838090,Varies with device,Free,0.0,Everyone 10+,Casual,35
TOOLS,5.0,3,20.1-30MB,Free,0.0,Everyone,Tools,95
PHOTOGRAPHY,4.2,140917,0.1-10MB,Free,0.0,Everyone,Photography,81
TOOLS,4.3,514,0.1-10MB,Free,0.0,Everyone,Tools,200
SOCIAL,4.3,0,0.1-10MB,Free,0.0,Teen,Social,79
FAMILY,4.5,205914,50.1-60MB,Free,0.0,Everyone,Education,28
GAME,4.4,4920817,Varies with device,Free,0.0,Everyone 10+,Arcade,77
FAMILY,4.2,5,0.1-10MB,Free,0.0,Everyone,Entertainment,140
PHOTOGRAPHY,4.5,559931,Varies with device,Free,0.0,Everyone,Photography,113
LIFESTYLE,3.2,5,0.1-10MB,Free,0.0,Everyone,Lifestyle,1206
COMMUNICATION,4.8,6,20.1-30MB,Free,0.0,Everyone,Communication,58
LIFESTYLE,4.3,96,0.1-10MB,Free,0.0,Everyone,Lifestyle,1375
PRODUCTIVITY,4.3,0,20.1-30MB,Free,0.0,Everyone,Productivity,64
MEDICAL,4.2,45,10.1-20MB,Paid,4.99,Everyone,Medical,1109
FINANCE,4.7,130582,20.1-30MB,Free,0.0,Everyone,Finance,29
HEALTH_AND_FITNESS,4.5,32606,Varies with device,Free,0.0,Everyone,Health & Fitness,162
GAME,3.6,33,70.1-80MB,Free,0.0,Teen,Casino,451
TOOLS,4.6,262076,0.1-10MB,Free,0.0,Everyone,Tools,239
GAME,4.4,125652,50.1-60MB,Free,0.0,Everyone,Action,74
HEALTH_AND_FITNESS,4.6,20301,20.1-30MB,Free,0.0,Everyone,Health & Fitness,107
BUSINESS,3.4,15,0.1-10MB,Free,0.0,Everyone,Business,904
AUTO_AND_VEHICLES,4.0,1981,10.1-20MB,Free,0.0,Everyone,Auto & Vehicles,30
PERSONALIZATION,4.3,0,0.1-10MB,Free,0.0,Teen,Personalization,330
FAMILY,4.5,46369,30.1-40MB,Free,0.0,Everyone,Educational;Brain Games,49
FAMILY,4.4,8,0.1-10MB,Free,0.0,Everyone,Education,87
FAMILY,3.6,783,20.1-30MB,Free,0.0,Teen,Entertainment,797
MEDICAL,4.3,460,10.1-20MB,Free,0.0,Everyone,Medical,50
SPORTS,4.8,1660,0.1-10MB,Free,0.0,Everyone,Sports,87
PHOTOGRAPHY,4.3,125259,Varies with device,Free,0.0,Everyone,Photography,29
PERSONALIZATION,4.5,314,10.1-20MB,Free,0.0,Everyone,Personalization,722
FOOD_AND_DRINK,4.1,46539,Varies with device,Free,0.0,Teen,Food & Drink,39
PERSONALIZATION,4.7,1891,0.1-10MB,Free,0.0,Everyone,Personalization,99
LIFESTYLE,3.6,1067,Varies with device,Free,0.0,Everyone,Lifestyle,164
GAME,4.2,93608,Varies with device,Free,0.0,Everyone,Action,203
PRODUCTIVITY,4.3,1,0.1-10MB,Paid,2.99,Everyone,Productivity,63
FAMILY,3.7,291,30.1-40MB,Free,0.0,Everyone,Simulation,351
GAME,4.3,22773,Varies with device,Free,0.0,Mature 17+,Action,28
FOOD_AND_DRINK,4.6,90242,10.1-20MB,Free,0.0,Everyone,Food & Drink,31
ENTERTAINMENT,4.5,653008,10.1-20MB,Free,0.0,Everyone,Entertainment,72
BUSINESS,4.3,0,0.1-10MB,Free,0.0,Everyone,Business,1974
SPORTS,4.9,1211,10.1-20MB,Free,0.0,Everyone,Sports,221
LIFESTYLE,4.2,10944,30.1-40MB,Free,0.0,Everyone,Lifestyle,77
PHOTOGRAPHY,4.1,7479,10.1-20MB,Free,0.0,Everyone,Photography,137
BUSINESS,4.1,423,10.1-20MB,Free,0.0,Everyone,Business,85
PERSONALIZATION,4.4,77609,0.1-10MB,Free,0.0,Everyone,Personalization,1225
FAMILY,4.6,99,10.1-20MB,Free,0.0,Teen,Strategy,84
FINANCE,4.7,178,10.1-20MB,Free,0.0,Everyone,Finance,80
SPORTS,4.3,0,20.1-30MB,Free,0.0,Everyone,Sports,185
GAME,4.2,249308,50.1-60MB,Free,0.0,Everyone,Arcade,358
PRODUCTIVITY,4.1,4513,Varies with device,Free,0.0,Everyone,Productivity,180
HEALTH_AND_FITNESS,4.8,432160,10.1-20MB,Free,0.0,Everyone,Health & Fitness,64
MEDICAL,3.1,253,0.1-10MB,Free,0.0,Everyone,Medical,718
TOOLS,4.0,3840,0.1-10MB,Free,0.0,Everyone,Tools,455
BUSINESS,4.3,0,0.1-10MB,Free,0.0,Everyone,Business,126
GAME,4.4,22429716,70.1-80MB,Free,0.0,Everyone,Casual,57
MEDICAL,4.1,12,0.1-10MB,Paid,1.99,Everyone,Medical,547
FAMILY,4.4,14774,10.1-20MB,Free,0.0,Everyone,Casual;Brain Games,39
SPORTS,4.3,101,0.1-10MB,Free,0.0,Everyone,Sports,47
LIFESTYLE,3.0,543,90.1-100MB,Free,0.0,Everyone,Lifestyle,60
LIFESTYLE,3.8,6554,70.1-80MB,Free,0.0,Teen,Lifestyle,72
BOOKS_AND_REFERENCE,4.1,70,0.1-10MB,Paid,0.99,Everyone,Books & Reference,1827
FAMILY,4.7,84389,40.1-50MB,Free,0.0,Everyone,Role Playing,26
LIFESTYLE,3.6,1067,Varies with device,Free,0.0,Everyone,Lifestyle,164
BUSINESS,4.0,1,0.1-10MB,Free,0.0,Everyone,Business,534
MEDICAL,2.6,5,20.1-30MB,Free,0.0,Everyone,Medical,483
FAMILY,4.7,78,10.1-20MB,Free,0.0,Everyone,Education,323
COMMUNICATION,4.3,298041,Varies with device,Free,0.0,Everyone,Communication,59
PRODUCTIVITY,4.1,661,0.1-10MB,Free,0.0,Everyone,Productivity,71
TOOLS,3.2,427,0.1-10MB,Free,0.0,Everyone,Tools,119
PERSONALIZATION,4.6,655,0.1-10MB,Free,0.0,Everyone,Personalization,115
FAMILY,5.0,3,0.1-10MB,Free,0.0,Everyone,Education,30
FAMILY,4.6,6231,30.1-40MB,Free,0.0,Everyone,Educational;Pretend Play,49
SPORTS,4.1,34123,10.1-20MB,Free,0.0,Everyone,Sports,154
FAMILY,4.3,726,10.1-20MB,Paid,4.99,Everyone,Simulation,630
BUSINESS,3.0,2,0.1-10MB,Free,0.0,Everyone,Business,52
DATING,1.9,953,10.1-20MB,Free,0.0,Mature 17+,Dating,44
SPORTS,4.2,277939,Varies with device,Free,0.0,Mature 17+,Sports,29
PHOTOGRAPHY,4.1,76484,Varies with device,Free,0.0,Everyone,Photography,84
PERSONALIZATION,4.3,63624,0.1-10MB,Free,0.0,Everyone,Personalization,284
PRODUCTIVITY,4.3,26452,0.1-10MB,Free,0.0,Everyone,Productivity,1397
GAME,3.8,489,30.1-40MB,Free,0.0,Everyone 10+,Arcade,1263
TOOLS,4.5,87055,Varies with device,Free,0.0,Everyone,Tools,605
GAME,4.1,39895,20.1-30MB,Free,0.0,Mature 17+,Adventure,241
BUSINESS,3.2,116,Varies with device,Free,0.0,Everyone,Business,79
GAME,3.8,466,20.1-30MB,Paid,0.99,Everyone,Arcade,521
WEATHER,4.3,0,0.1-10MB,Free,0.0,Everyone,Weather,141
EVENTS,4.4,663,0.1-10MB,Free,0.0,Everyone,Events,321
BUSINESS,4.3,23175,40.1-50MB,Free,0.0,Everyone,Business,49
SPORTS,4.0,9971,30.1-40MB,Free,0.0,Everyone,Sports,87
TOOLS,4.4,52,0.1-10MB,Free,0.0,Everyone,Tools,167
MAPS_AND_NAVIGATION,4.5,56443,40.1-50MB,Free,0.0,Everyone,Maps & Navigation,66
FAMILY,4.7,6073,0.1-10MB,Free,0.0,Mature 17+,Simulation,187
SOCIAL,4.1,8,0.1-10MB,Free,0.0,Teen,Social,413
FAMILY,4.6,19640,60.1-70MB,Free,0.0,Teen,Simulation,105
PRODUCTIVITY,4.8,5865,10.1-20MB,Paid,4.49,Everyone,Productivity,44
VIDEO_PLAYERS,4.6,4016834,Varies with device,Free,0.0,Everyone,Video Players & Editors,39
TOOLS,4.5,954,0.1-10MB,Free,0.0,Teen,Tools,781
WEATHER,4.0,634,Varies with device,Free,0.0,Everyone,Weather,77
BUSINESS,4.4,9,30.1-40MB,Free,0.0,Everyone,Business,170
BUSINESS,5.0,2,20.1-30MB,Free,0.0,Everyone,Business,38
BUSINESS,4.3,85185,20.1-30MB,Free,0.0,Everyone,Business,45
GAME,3.9,85317,0.1-10MB,Free,0.0,Everyone,Board,228
DATING,3.5,13202,0.1-10MB,Free,0.0,Mature 17+,Dating,55
TRAVEL_AND_LOCAL,4.4,22776,50.1-60MB,Free,0.0,Everyone,Travel & Local,25
FAMILY,4.1,120,30.1-40MB,Free,0.0,Everyone,Casual,171
FINANCE,4.5,166,0.1-10MB,Free,0.0,Everyone,Finance,236
FAMILY,4.0,4607,10.1-20MB,Free,0.0,Everyone,Simulation,172
BOOKS_AND_REFERENCE,4.2,860,10.1-20MB,Free,0.0,Everyone,Books & Reference,45
EDUCATION,3.8,828,Varies with device,Free,0.0,Everyone,Education,334
FAMILY,4.2,3593,10.1-20MB,Free,0.0,Everyone,Board;Brain Games,177
MEDICAL,3.5,214,60.1-70MB,Paid,33.99,Everyone,Medical,333
EDUCATION,4.4,55256,10.1-20MB,Free,0.0,Everyone,Education,73
PERSONALIZATION,4.7,127,0.1-10MB,Free,0.0,Everyone,Personalization,119
BUSINESS,4.3,3,0.1-10MB,Free,0.0,Everyone,Business,1142
TRAVEL_AND_LOCAL,4.3,1,20.1-30MB,Free,0.0,Everyone,Travel & Local,377
TOOLS,5.0,1,0.1-10MB,Free,0.0,Everyone,Tools,275
PHOTOGRAPHY,4.5,420973,Varies with device,Free,0.0,Everyone,Photography,29
HEALTH_AND_FITNESS,5.0,4,10.1-20MB,Free,0.0,Everyone,Health & Fitness,161
TOOLS,4.6,85496,0.1-10MB,Free,0.0,Everyone,Tools,198
GAME,4.3,6,20.1-30MB,Free,0.0,Everyone,Music,108
GAME,4.1,140,40.1-50MB,Free,0.0,Mature 17+,Card,457
SOCIAL,4.0,3677,40.1-50MB,Free,0.0,Mature 17+,Social,71
SOCIAL,2.9,90,20.1-30MB,Free,0.0,Mature 17+,Social,53
MAPS_AND_NAVIGATION,4.2,301413,40.1-50MB,Free,0.0,Everyone,Maps & Navigation,30
GAME,4.3,309176,60.1-70MB,Free,0.0,Everyone 10+,Simulation,29
LIFESTYLE,4.2,251,0.1-10MB,Free,0.0,Everyone,Lifestyle,162
NEWS_AND_MAGAZINES,4.3,10,0.1-10MB,Free,0.0,Everyone,News & Magazines,1039
SOCIAL,4.3,88,0.1-10MB,Free,0.0,Everyone,Social,219
SHOPPING,4.3,95520,10.1-20MB,Free,0.0,Teen,Shopping,28
WEATHER,4.3,15,0.1-10MB,Free,0.0,Everyone,Weather,557
GAME,3.8,469,70.1-80MB,Free,0.0,Everyone,Adventure,469
NEWS_AND_MAGAZINES,4.6,413999,0.1-10MB,Free,0.0,Teen,News & Magazines,28
FAMILY,4.1,435,10.1-20MB,Free,0.0,Everyone,Education,71
PHOTOGRAPHY,4.0,32896,30.1-40MB,Free,0.0,Everyone,Photography,170
SHOPPING,4.4,25717,Varies with device,Free,0.0,Teen,Shopping,31
FAMILY,4.2,4,0.1-10MB,Free,0.0,Teen,Entertainment,1164
HOUSE_AND_HOME,4.3,2,0.1-10MB,Free,0.0,Everyone,House & Home,280
BUSINESS,4.6,4159,40.1-50MB,Free,0.0,Everyone,Business,42
SHOPPING,3.4,620,30.1-40MB,Free,0.0,Everyone,Shopping,171
FAMILY,4.7,30,Varies with device,Paid,7.49,Everyone,Educational;Education,107
LIFESTYLE,4.3,246201,Varies with device,Free,0.0,Everyone,Lifestyle,39
FAMILY,4.1,321,0.1-10MB,Free,0.0,Everyone,Education,1294
LIFESTYLE,4.1,47497,30.1-40MB,Free,0.0,Everyone,Lifestyle,84
TRAVEL_AND_LOCAL,4.3,2339098,Varies with device,Free,0.0,Everyone,Travel & Local,74
GAME,4.6,260651,50.1-60MB,Free,0.0,Everyone,Arcade,198
FAMILY,4.4,397147,Varies with device,Free,0.0,Teen,Entertainment,29
FAMILY,4.1,200214,10.1-20MB,Free,0.0,Everyone,Education,25
MEDICAL,4.3,10,0.1-10MB,Free,0.0,Everyone,Medical,1266
MEDICAL,4.5,2923,20.1-30MB,Paid,24.99,Everyone,Medical,98
FAMILY,4.4,6715,0.1-10MB,Free,0.0,Mature 17+,Entertainment,42
PHOTOGRAPHY,4.3,0,0.1-10MB,Free,0.0,Everyone,Photography,345
PRODUCTIVITY,4.2,133,0.1-10MB,Free,0.0,Everyone,Productivity,231
FAMILY,4.5,472247,Varies with device,Free,0.0,Everyone,Puzzle,31
FAMILY,4.3,2,60.1-70MB,Free,0.0,Everyone,Education,439
LIFESTYLE,4.7,113,10.1-20MB,Free,0.0,Everyone,Lifestyle,700
NEWS_AND_MAGAZINES,4.3,978,0.1-10MB,Free,0.0,Everyone,News & Magazines,111
GAME,4.5,5849,0.1-10MB,Free,0.0,Everyone,Trivia,352
FAMILY,5.0,1,30.1-40MB,Paid,19.99,Everyone,Education,1558
GAME,4.1,9898,60.1-70MB,Free,0.0,Mature 17+,Action,197
FINANCE,4.0,36,40.1-50MB,Paid,399.99,Everyone,Finance,67
GAME,4.6,5419676,90.1-100MB,Free,0.0,Everyone,Sports,79
SPORTS,4.9,195,20.1-30MB,Free,0.0,Everyone,Sports,30
SHOPPING,4.2,171584,10.1-20MB,Free,0.0,Everyone,Shopping,36
AUTO_AND_VEHICLES,4.3,2,10.1-20MB,Paid,9.99,Everyone,Auto & Vehicles,67
FAMILY,4.2,13752,20.1-30MB,Paid,9.99,Mature 17+,Strategy,311
FAMILY,4.6,124,20.1-30MB,Free,0.0,Everyone,Education,136
PERSONALIZATION,4.3,1,10.1-20MB,Free,0.0,Teen,Personalization,809
BUSINESS,3.9,213,0.1-10MB,Free,0.0,Everyone,Business,83
FAMILY,3.2,3069,10.1-20MB,Free,0.0,Teen,Entertainment,99
HOUSE_AND_HOME,4.5,39123,Varies with device,Free,0.0,Everyone,House & Home,28
TOOLS,3.9,27,0.1-10MB,Free,0.0,Everyone,Tools,492
SPORTS,4.5,207,0.1-10MB,Free,0.0,Everyone,Sports,291
LIFESTYLE,4.2,23164,0.1-10MB,Free,0.0,Mature 17+,Lifestyle,38
PRODUCTIVITY,4.2,145088,20.1-30MB,Free,0.0,Everyone,Productivity,39
TOOLS,3.8,39,0.1-10MB,Free,0.0,Teen,Tools,1414
GAME,4.5,197979,Varies with device,Free,0.0,Teen,Card,24
GAME,4.3,1167143,10.1-20MB,Free,0.0,Everyone,Arcade,345
FAMILY,3.8,762,0.1-10MB,Free,0.0,Everyone,Education,576
BEAUTY,4.4,2280,20.1-30MB,Free,0.0,Everyone,Beauty,109
TOOLS,4.2,5463,0.1-10MB,Free,0.0,Everyone,Tools,371
HEALTH_AND_FITNESS,5.0,18,10.1-20MB,Free,0.0,Everyone,Health & Fitness,206
BOOKS_AND_REFERENCE,4.4,47,0.1-10MB,Paid,3.08,Everyone,Books & Reference,826
PERSONALIZATION,4.1,2645,0.1-10MB,Paid,0.99,Everyone,Personalization,985
SHOPPING,4.2,16966,30.1-40MB,Free,0.0,Everyone,Shopping,50
MEDICAL,5.0,1,20.1-30MB,Free,0.0,Everyone,Medical,515
PRODUCTIVITY,4.3,0,30.1-40MB,Free,0.0,Everyone,Productivity,84
FOOD_AND_DRINK,3.7,3,20.1-30MB,Free,0.0,Everyone,Food & Drink,179
TOOLS,4.4,51,0.1-10MB,Free,0.0,Everyone,Tools,102
