Category,Rating,Reviews,Size,Type,Price,Content Rating,Genres,days_since_update
LIFESTYLE,3.9,987,0.1-10MB,Free,0.0,Everyone,Lifestyle,367
VIDEO_PLAYERS,4.4,1032076,Varies with device,Free,0.0,Everyone,Video Players & Editors,32
BUSINESS,4.3,0,60.1-70MB,Free,0.0,Everyone,Business,81
GAME,4.1,257531,40.1-50MB,Free,0.0,Everyone 10+,Racing,225
FAMILY,4.6,25,0.1-10MB,Free,0.0,Everyone,Entertainment,58
DATING,4.2,313724,Varies with device,Free,0.0,Mature 17+,Dating,27
HEALTH_AND_FITNESS,4.3,15,20.1-30MB,Paid,4.99,Everyone,Health & Fitness,39
PRODUCTIVITY,4.6,122424,0.1-10MB,Free,0.0,Everyone,Productivity,168
BEAUTY,3.9,4354,40.1-50MB,Free,0.0,Teen,Beauty,25
BUSINESS,3.9,1058,20.1-30MB,Free,0.0,Everyone,Business,63
BOOKS_AND_REFERENCE,4.7,1340,10.1-20MB,Paid,4.49,Everyone,Books & Reference,107
MEDICAL,4.4,275,0.1-10MB,Free,0.0,Everyone 10+,Medical,168
PHOTOGRAPHY,4.3,251686,30.1-40MB,Free,0.0,Everyone,Photography,399
SHOPPING,4.2,42750,0.1-10MB,Free,0.0,Everyone,Shopping,27
EDUCATION,4.5,13791,Varies with device,Free,0.0,Everyone,Education,86
GAME,4.6,155186,Varies with device,Free,0.0,Everyone,Puzzle,28
MAPS_AND_NAVIGATION,4.3,0,0.1-10MB,Free,0.0,Everyone,Maps & Navigation,216
FAMILY,4.1,188,0.1-10MB,Free,0.0,Everyone,Education,56
SOCIAL,4.9,117,60.1-70MB,Free,0.0,Teen,Social,49
FAMILY,4.4,567632,10.1-20MB,Free,0.0,Everyone 10+,Casual,80
SOCIAL,4.2,6,0.1-10MB,Free,0.0,Everyone,Social,1058
NEWS_AND_MAGAZINES,3.9,262,20.1-30MB,Free,0.0,Everyone,News & Magazines,66
FINANCE,4.4,92,0.1-10MB,Free,0.0,Everyone,Finance,577
LIFESTYLE,3.7,492,0.1-10MB,Free,0.0,Everyone,Lifestyle,1061
SHOPPING,4.3,95520,10.1-20MB,Free,0.0,Teen,Shopping,28
GAME,4.3,2178,50.1-60MB,Free,0.0,Everyone,Racing,156
COMMUNICATION,4.5,7820775,Varies with device,Free,0.0,Everyone,Communication,30
SPORTS,3.3,64,0.1-10MB,Free,0.0,Everyone,Sports,149
SHOPPING,4.2,39735,10.1-20MB,Free,0.0,Teen,Shopping,37
FINANCE,4.6,459,0.1-10MB,Paid,18.99,Everyone,Finance,195
FAMILY,4.2,11263,30.1-40MB,Free,0.0,Everyone,Entertainment;Music & Video,120
HEALTH_AND_FITNESS,2.6,186,20.1-30MB,Free,0.0,Everyone,Health & Fitness,104
PHOTOGRAPHY,2.7,3032,0.1-10MB,Free,0.0,Everyone,Photography,266
TOOLS,4.7,6505,0.1-10MB,Paid,2.99,Everyone,Tools,301
BUSINESS,4.3,0,0.1-10MB,Free,0.0,Everyone,Business,114
HEALTH_AND_FITNESS,4.5,10253,Varies with device,Free,0.0,Teen,Health & Fitness,53
SPORTS,4.3,3,20.1-30MB,Free,0.0,Everyone,Sports,193
PHOTOGRAPHY,4.6,819694,20.1-30MB,Free,0.0,Everyone,Photography,66
GAME,4.2,492,60.1-70MB,Free,0.0,Teen,Action,512
COMMUNICATION,4.1,20901,0.1-10MB,Free,0.0,Everyone,Communication,150
GAME,4.4,153649,Varies with device,Free,0.0,Teen,Action,74
GAME,4.3,8119154,60.1-70MB,Free,0.0,Everyone,Action,57
BUSINESS,4.4,48,50.1-60MB,Free,0.0,Everyone,Business,55
FAMILY,4.0,119173,Varies with device,Free,0.0,Everyone 10+,Video Players & Editors;Music & Video,71
BUSINESS,2.9,28,10.1-20MB,Paid,17.99,Everyone,Business,311
PHOTOGRAPHY,4.5,10858538,Varies with device,Free,0.0,Everyone,Photography,25
BUSINESS,4.3,3,20.1-30MB,Free,0.0,Everyone,Business,126
GAME,4.1,88941,30.1-40MB,Free,0.0,Teen,Action,766
GAME,4.4,206602,10.1-20MB,Free,0.0,Mature 17+,Action,1887
PERSONALIZATION,4.4,87300,Varies with device,Free,0.0,Everyone,Personalization,1263
SPORTS,4.5,14184910,50.1-60MB,Free,0.0,Everyone,Sports,31
FAMILY,3.7,10035,20.1-30MB,Free,0.0,Teen,Simulation,100
TOOLS,4.3,2,10.1-20MB,Free,0.0,Everyone,Tools,210
TOOLS,4.5,5174,0.1-10MB,Free,0.0,Everyone,Tools,127
FAMILY,3.4,1012,10.1-20MB,Free,0.0,Teen,Entertainment,188
TRAVEL_AND_LOCAL,4.2,8258,20.1-30MB,Free,0.0,Everyone,Travel & Local,59
SHOPPING,4.7,10,0.1-10MB,Free,0.0,Everyone,Shopping,574
NEWS_AND_MAGAZINES,4.0,24790,Varies with device,Free,0.0,Everyone,News & Magazines,42
COMMUNICATION,4.1,6601,30.1-40MB,Free,0.0,Everyone,Communication,60
BUSINESS,4.4,6997,0.1-10MB,Free,0.0,Everyone,Business,56
FOOD_AND_DRINK,4.2,3755,0.1-10MB,Free,0.0,Everyone,Food & Drink,42
LIFESTYLE,4.6,118034,Varies with device,Free,0.0,Everyone,Lifestyle,29
FOOD_AND_DRINK,4.5,454,10.1-20MB,Free,0.0,Everyone,Food & Drink,156
HOUSE_AND_HOME,4.3,13,40.1-50MB,Free,0.0,Everyone,House & Home,135
GAME,4.1,66894,Varies with device,Free,0.0,Everyone 10+,Racing,41
SPORTS,4.2,82883,Varies with device,Free,0.0,Everyone,Sports,32
HEALTH_AND_FITNESS,4.6,56145,20.1-30MB,Free,0.0,Everyone,Health & Fitness,30
GAME,4.3,3,30.1-40MB,Free,0.0,Everyone,Racing,268
PARENTING,4.2,20,10.1-20MB,Free,0.0,Everyone,Parenting,425
LIFESTYLE,4.4,1740,0.1-10MB,Free,0.0,Teen,Lifestyle,400
GAME,4.8,8191,Varies with device,Free,0.0,Everyone,Board,101
LIFESTYLE,4.3,1,30.1-40MB,Free,0.0,Everyone,Lifestyle,260
GAME,3.8,1363,20.1-30MB,Free,0.0,Everyone,Arcade,63
FAMILY,4.3,14,0.1-10MB,Free,0.0,Teen,Education,233
LIFESTYLE,3.8,250,0.1-10MB,Free,0.0,Everyone,Lifestyle,31
HEALTH_AND_FITNESS,4.3,14,0.1-10MB,Free,0.0,Everyone,Health & Fitness,154
NEWS_AND_MAGAZINES,4.0,33,0.1-10MB,Free,0.0,Everyone,News & Magazines,1431
BUSINESS,4.3,0,10.1-20MB,Free,0.0,Everyone,Business,200
SPORTS,4.2,342909,0.1-10MB,Free,0.0,Everyone,Sports,28
FAMILY,4.7,7,20.1-30MB,Free,0.0,Teen,Casual,148
TOOLS,3.9,146,0.1-10MB,Free,0.0,Everyone,Tools,508
FINANCE,4.0,253,20.1-30MB,Free,0.0,Everyone,Finance,121
FAMILY,5.0,3,0.1-10MB,Free,0.0,Everyone,Entertainment,158
FAMILY,3.3,355837,0.1-10MB,Free,0.0,Everyone,Entertainment,632
DATING,4.0,42194,Varies with device,Free,0.0,Mature 17+,Dating,38
TOOLS,3.1,124,0.1-10MB,Free,0.0,Everyone,Tools,1592
FAMILY,4.3,1024,Varies with device,Free,0.0,Everyone,Educational;Education,95
AUTO_AND_VEHICLES,4.2,367,20.1-30MB,Free,0.0,Everyone,Auto & Vehicles,113
TOOLS,3.8,415,0.1-10MB,Free,0.0,Everyone,Tools,456
PRODUCTIVITY,4.3,253,Varies with device,Paid,3.99,Everyone,Productivity,180
TOOLS,3.2,67,60.1-70MB,Free,0.0,Everyone,Tools,455
BUSINESS,3.7,244,0.1-10MB,Free,0.0,Everyone,Business,1040
PRODUCTIVITY,4.0,8550,10.1-20MB,Free,0.0,Everyone,Productivity,37
GAME,3.9,29505,60.1-70MB,Free,0.0,Everyone,Word,149
SHOPPING,4.3,1,0.1-10MB,Free,0.0,Everyone,Shopping,288
TRAVEL_AND_LOCAL,3.6,7081,50.1-60MB,Free,0.0,Everyone,Travel & Local,25
FAMILY,3.6,418,90.1-100MB,Free,0.0,Everyone,Educational;Education,662
FAMILY,4.0,174127,40.1-50MB,Free,0.0,Teen,Simulation,697
BOOKS_AND_REFERENCE,4.6,33,30.1-40MB,Free,0.0,Everyone,Books & Reference,592
BUSINESS,4.2,296,10.1-20MB,Free,0.0,Everyone,Business,77
BOOKS_AND_REFERENCE,4.4,233757,Varies with device,Free,0.0,Everyone,Books & Reference,122
FAMILY,4.4,17069,90.1-100MB,Free,0.0,Everyone 10+,Role Playing,30
TOOLS,4.4,4901,0.1-10MB,Free,0.0,Everyone,Tools,568
ART_AND_DESIGN,4.7,158,10.1-20MB,Free,0.0,Everyone,Art & Design,275
SHOPPING,4.3,125783,Varies with device,Free,0.0,Teen,Shopping,25
FAMILY,4.4,623398,50.1-60MB,Free,0.0,Everyone,Puzzle;Brain Games,365
SOCIAL,4.3,1064076,Varies with device,Free,0.0,Mature 17+,Social,34
SOCIAL,4.3,0,Varies with device,Free,0.0,Everyone,Social,461
FAMILY,4.3,1168959,60.1-70MB,Free,0.0,Everyone,Puzzle,485
MEDICAL,5.0,6,20.1-30MB,Free,0.0,Everyone,Medical,98
GAME,4.4,4066989,60.1-70MB,Free,0.0,Everyone 10+,Strategy,56
COMICS,4.1,12088,20.1-30MB,Free,0.0,Mature 17+,Comics,56
SOCIAL,4.2,1259894,70.1-80MB,Free,0.0,Mature 17+,Social,28
PERSONALIZATION,4.3,44,0.1-10MB,Free,0.0,Teen,Personalization,827
PHOTOGRAPHY,4.6,819774,20.1-30MB,Free,0.0,Everyone,Photography,66
TOOLS,4.2,1859115,Varies with device,Free,0.0,Everyone,Tools,31
GAME,4.8,230727,80.1-90MB,Free,0.0,Everyone,Word,29
FAMILY,4.5,1985,20.1-30MB,Paid,3.99,Everyone 10+,Action;Action & Adventure,44
LIBRARIES_AND_DEMO,4.3,110,0.1-10MB,Free,0.0,Everyone,Libraries & Demo,299
TOOLS,3.7,566,20.1-30MB,Free,0.0,Everyone,Tools,32
SPORTS,4.2,277900,Varies with device,Free,0.0,Mature 17+,Sports,29
FAMILY,4.3,997,Varies with device,Free,0.0,Everyone,Entertainment,65
TRAVEL_AND_LOCAL,4.3,165299,0.1-10MB,Free,0.0,Everyone,Travel & Local,32
PHOTOGRAPHY,4.4,221858,Varies with device,Free,0.0,Everyone,Photography,30
PERSONALIZATION,4.1,291,30.1-40MB,Paid,1.99,Everyone,Personalization,678
PHOTOGRAPHY,4.3,61990,Varies with device,Free,0.0,Everyone,Photography,203
COMMUNICATION,3.7,197,0.1-10MB,Paid,2.99,Everyone,Communication,933
PHOTOGRAPHY,4.3,4,0.1-10MB,Paid,3.99,Everyone,Photography,743
PHOTOGRAPHY,3.1,133,0.1-10MB,Free,0.0,Everyone,Photography,115
COMMUNICATION,4.2,27156,Varies with device,Free,0.0,Everyone,Communication,92
GAME,4.4,344819,50.1-60MB,Free,0.0,Teen,Action,682
LIBRARIES_AND_DEMO,4.2,78,0.1-10MB,Free,0.0,Everyone,Libraries & Demo,572
FAMILY,3.1,192,60.1-70MB,Free,0.0,Everyone,Education,420
DATING,3.9,10212,0.1-10MB,Free,0.0,Mature 17+,Dating,37
COMMUNICATION,3.9,20829,0.1-10MB,Free,0.0,Everyone,Communication,287
EDUCATION,4.6,25183,0.1-10MB,Free,0.0,Everyone,Education,249
PARENTING,3.1,103,20.1-30MB,Free,0.0,Everyone,Parenting,63
FAMILY,4.7,48615,20.1-30MB,Free,0.0,Everyone,Simulation;Action & Adventure,101
PRODUCTIVITY,4.3,0,10.1-20MB,Free,0.0,Teen,Productivity,65
SPORTS,3.7,20879,20.1-30MB,Free,0.0,Everyone,Sports,83
MEDICAL,2.8,78,70.1-80MB,Free,0.0,Everyone,Medical,65
TOOLS,3.4,25094,Varies with device,Free,0.0,Everyone,Tools,44
TRAVEL_AND_LOCAL,4.1,98,0.1-10MB,Free,0.0,Everyone,Travel & Local,45
DATING,3.6,11806,10.1-20MB,Free,0.0,Mature 17+,Dating,66
COMMUNICATION,4.3,2,10.1-20MB,Free,0.0,Everyone,Communication,162
GAME,4.3,4704,30.1-40MB,Free,0.0,Everyone 10+,Arcade,1031
TOOLS,4.7,175,0.1-10MB,Free,0.0,Everyone,Tools,34
ART_AND_DESIGN,3.4,486,0.1-10MB,Free,0.0,Everyone,Art & Design,36
WEATHER,3.9,100994,50.1-60MB,Free,0.0,Everyone,Weather,49
SOCIAL,4.5,456866,Varies with device,Free,0.0,Teen,Social,28
HEALTH_AND_FITNESS,4.6,4102,20.1-30MB,Free,0.0,Everyone 10+,Health & Fitness,43
ENTERTAINMENT,3.9,2646,0.1-10MB,Free,0.0,Teen,Entertainment,198
MAPS_AND_NAVIGATION,3.8,82,0.1-10MB,Free,0.0,Everyone,Maps & Navigation,189
NEWS_AND_MAGAZINES,4.3,0,0.1-10MB,Free,0.0,Everyone,News & Magazines,55
HEALTH_AND_FITNESS,5.0,5,10.1-20MB,Free,0.0,Everyone,Health & Fitness,60
PERSONALIZATION,4.6,6466641,Varies with device,Free,0.0,Teen,Personalization,43
SPORTS,4.3,0,0.1-10MB,Free,0.0,Everyone,Sports,590
PRODUCTIVITY,4.7,315,10.1-20MB,Free,0.0,Everyone,Productivity,221
MAPS_AND_NAVIGATION,2.8,25,0.1-10MB,Free,0.0,Everyone,Maps & Navigation,25
BUSINESS,4.3,3,10.1-20MB,Free,0.0,Everyone,Business,163
HOUSE_AND_HOME,4.5,118,70.1-80MB,Free,0.0,Everyone,House & Home,52
COMMUNICATION,4.3,31,Varies with device,Free,0.0,Everyone,Communication,125
FAMILY,4.0,7,0.1-10MB,Free,0.0,Everyone,Education,439
SOCIAL,4.4,5985,0.1-10MB,Free,0.0,Everyone,Social,421
FAMILY,4.1,26347,40.1-50MB,Free,0.0,Everyone 10+,Entertainment,350
GAME,4.5,168717,50.1-60MB,Free,0.0,Mature 17+,Strategy,28
FAMILY,4.4,3032,20.1-30MB,Free,0.0,Everyone,Casual,256
FAMILY,5.0,3,0.1-10MB,Free,0.0,Mature 17+,Education,613
FAMILY,3.5,807,0.1-10MB,Free,0.0,Everyone,Casual,122
FAMILY,3.0,2,30.1-40MB,Free,0.0,Everyone,Simulation,44
PRODUCTIVITY,4.6,267042,Varies with device,Free,0.0,Everyone,Productivity,124
PERSONALIZATION,4.5,37,10.1-20MB,Free,0.0,Teen,Personalization,551
GAME,4.5,462614,50.1-60MB,Free,0.0,Everyone,Arcade,101
NEWS_AND_MAGAZINES,4.9,34,0.1-10MB,Free,0.0,Everyone,News & Magazines,593
WEATHER,4.1,1238,0.1-10MB,Free,0.0,Everyone,Weather,1353
WEATHER,4.2,8723,0.1-10MB,Free,0.0,Everyone,Weather,1465
TOOLS,4.2,127223,0.1-10MB,Free,0.0,Everyone,Tools,28
FINANCE,3.9,714,0.1-10MB,Free,0.0,Everyone,Finance,450
MAPS_AND_NAVIGATION,3.4,14,0.1-10MB,Free,0.0,Everyone,Maps & Navigation,218
GAME,3.7,413609,20.1-30MB,Free,0.0,Mature 17+,Racing,30
FAMILY,3.5,2,20.1-30MB,Paid,2.99,Everyone,Role Playing,529
ENTERTAINMENT,4.3,407698,Varies with device,Free,0.0,Teen,Entertainment,35
FINANCE,3.7,913,0.1-10MB,Free,0.0,Everyone,Finance,2233
FINANCE,4.4,15141,20.1-30MB,Free,0.0,Everyone,Finance,38
HEALTH_AND_FITNESS,4.5,75571,Varies with device,Free,0.0,Everyone,Health & Fitness,28
ART_AND_DESIGN,4.7,5754,0.1-10MB,Free,0.0,Everyone,Art & Design,32
LIBRARIES_AND_DEMO,4.4,50,0.1-10MB,Free,0.0,Everyone,Libraries & Demo,572
WEATHER,4.2,133338,40.1-50MB,Free,0.0,Everyone,Weather,66
FAMILY,4.5,166886,20.1-30MB,Free,0.0,Everyone 10+,Education,33
MEDICAL,4.0,3498,0.1-10MB,Free,0.0,Everyone,Medical,122
HOUSE_AND_HOME,4.3,12,0.1-10MB,Free,0.0,Everyone,House & Home,50
GAME,4.2,250197,40.1-50MB,Free,0.0,Teen,Action,50
GAME,4.5,696,Varies with device,Free,0.0,Everyone,Action,57
COMMUNICATION,3.8,12667,30.1-40MB,Free,0.0,Everyone,Communication,30
BOOKS_AND_REFERENCE,4.2,814080,Varies with device,Free,0.0,Teen,Books & Reference,35
PRODUCTIVITY,4.3,6120,0.1-10MB,Free,0.0,Everyone,Productivity,282
WEATHER,4.5,76593,Varies with device,Paid,5.99,Everyone,Weather,283
GAME,4.2,32849,0.1-10MB,Free,0.0,Everyone,Word,1066
FAMILY,4.5,11,0.1-10MB,Free,0.0,Everyone,Entertainment,381
HEALTH_AND_FITNESS,4.2,1140,0.1-10MB,Free,0.0,Teen,Health & Fitness,598
FOOD_AND_DRINK,4.3,28008,10.1-20MB,Free,0.0,Everyone,Food & Drink,28
PERSONALIZATION,4.5,4,0.1-10MB,Free,0.0,Everyone,Personalization,608
MEDICAL,4.3,1,0.1-10MB,Free,0.0,Mature 17+,Medical,36
HEALTH_AND_FITNESS,4.4,12029,0.1-10MB,Free,0.0,Everyone,Health & Fitness,27
LIFESTYLE,4.5,234971,80.1-90MB,Free,0.0,Everyone,Lifestyle,37
LIFESTYLE,5.0,7,10.1-20MB,Free,0.0,Everyone,Lifestyle,529
COMMUNICATION,4.3,27187,60.1-70MB,Free,0.0,Everyone,Communication,34
PRODUCTIVITY,4.3,0,Varies with device,Free,0.0,Teen,Productivity,29
SPORTS,3.9,654,40.1-50MB,Paid,4.99,Everyone,Sports,254
PHOTOGRAPHY,4.0,35188,0.1-10MB,Free,0.0,Everyone,Photography,190
BUSINESS,5.0,1,0.1-10MB,Free,0.0,Everyone,Business,192
COMMUNICATION,3.8,52,0.1-10MB,Free,0.0,Everyone,Communication,1099
BOOKS_AND_REFERENCE,4.2,459,10.1-20MB,Free,0.0,Everyone,Books & Reference,699
GAME,4.4,29168,Varies with device,Free,0.0,Everyone,Racing,94
NEWS_AND_MAGAZINES,4.7,13620,0.1-10MB,Free,0.0,Everyone,News & Magazines,137
FINANCE,4.8,495,10.1-20MB,Free,0.0,Everyone,Finance,122
EDUCATION,4.6,85375,20.1-30MB,Free,0.0,Everyone,Education,35
BOOKS_AND_REFERENCE,4.5,527,0.1-10MB,Free,0.0,Everyone,Books & Reference,153
COMMUNICATION,4.3,3,0.1-10MB,Free,0.0,Everyone,Communication,205
NEWS_AND_MAGAZINES,4.2,522205,Varies with device,Free,0.0,Everyone,News & Magazines,24
TOOLS,4.7,8114,Varies with device,Paid,2.49,Everyone,Tools,83
PRODUCTIVITY,4.2,43,0.1-10MB,Free,0.0,Everyone,Productivity,1179
FAMILY,4.4,5453997,Varies with device,Free,0.0,Teen,Entertainment,31
GAME,4.0,120592,70.1-80MB,Free,0.0,Everyone 10+,Strategy,31
BUSINESS,4.3,1,0.1-10MB,Free,0.0,Everyone,Business,87
COMMUNICATION,4.1,28238,10.1-20MB,Free,0.0,Everyone,Communication,29
BOOKS_AND_REFERENCE,3.4,116,40.1-50MB,Paid,4.6,Everyone,Books & Reference,687
MEDICAL,4.4,104,30.1-40MB,Paid,2.99,Teen,Medical,99
FINANCE,4.4,31,0.1-10MB,Paid,3.99,Everyone,Finance,47
TRAVEL_AND_LOCAL,3.6,14544,40.1-50MB,Free,0.0,Everyone,Travel & Local,35
TOOLS,4.3,1,0.1-10MB,Free,0.0,Everyone,Tools,84
BUSINESS,4.3,3,0.1-10MB,Free,0.0,Everyone,Business,592
FAMILY,3.9,94910,40.1-50MB,Free,0.0,Everyone,Action;Action & Adventure,598
BOOKS_AND_REFERENCE,4.5,96419,Varies with device,Free,0.0,Everyone,Books & Reference,118
MEDICAL,5.0,5,20.1-30MB,Free,0.0,Everyone,Medical,344
FAMILY,3.6,1042,40.1-50MB,Free,0.0,Everyone,Role Playing;Pretend Play,392
GAME,4.4,18621,60.1-70MB,Paid,2.99,Everyone,Board,58
COMMUNICATION,4.3,3429,Varies with device,Free,0.0,Everyone,Communication,176
HEALTH_AND_FITNESS,4.4,708674,Varies with device,Free,0.0,Everyone,Health & Fitness,50
BOOKS_AND_REFERENCE,4.2,20,0.1-10MB,Free,0.0,Everyone,Books & Reference,1180
LIFESTYLE,4.3,6,10.1-20MB,Free,0.0,Everyone,Lifestyle,455
FAMILY,4.6,181961,10.1-20MB,Free,0.0,Everyone 10+,Education,35
SHOPPING,4.1,52896,Varies with device,Free,0.0,Everyone,Shopping,74
GAME,4.3,29270,40.1-50MB,Free,0.0,Everyone,Action,37
SHOPPING,4.4,441473,Varies with device,Free,0.0,Everyone,Shopping,32
GAME,4.3,30002,20.1-30MB,Free,0.0,Teen,Casino,204
FAMILY,4.5,226,20.1-30MB,Free,0.0,Everyone,Education;Education,458
FAMILY,3.7,11748,30.1-40MB,Free,0.0,Teen,Casual,669
MEDICAL,4.3,0,0.1-10MB,Free,0.0,Teen,Medical,158
FAMILY,4.2,222664,90.1-100MB,Free,0.0,Everyone,Puzzle,30
HEALTH_AND_FITNESS,4.0,1577,0.1-10MB,Free,0.0,Everyone,Health & Fitness,384
NEWS_AND_MAGAZINES,4.3,131028,10.1-20MB,Free,0.0,Teen,News & Magazines,32
PRODUCTIVITY,4.4,2731211,Varies with device,Free,0.0,Everyone,Productivity,25
SOCIAL,4.3,51502,10.1-20MB,Free,0.0,Teen,Social,37
AUTO_AND_VEHICLES,2.6,5,0.1-10MB,Free,0.0,Everyone,Auto & Vehicles,115
BUSINESS,4.3,1,0.1-10MB,Free,0.0,Everyone,Business,113
GAME,4.5,413,0.1-10MB,Paid,4.99,Everyone,Adventure,471
HEALTH_AND_FITNESS,2.6,219,0.1-10MB,Free,0.0,Everyone,Health & Fitness,1036
FAMILY,4.0,29708,10.1-20MB,Free,0.0,Teen,Entertainment,46
MEDICAL,3.0,914,Varies with device,Free,0.0,Everyone,Medical,45
TOOLS,4.2,32,30.1-40MB,Free,0.0,Everyone,Tools,102
GAME,4.0,1417,10.1-20MB,Free,0.0,Teen,Card,1008
GAME,4.1,2399,40.1-50MB,Free,0.0,Mature 17+,Action,215
AUTO_AND_VEHICLES,4.3,5,0.1-10MB,Free,0.0,Everyone,Auto & Vehicles,80
PERSONALIZATION,4.3,7,0.1-10MB,Free,0.0,Everyone,Personalization,104
PERSONALIZATION,4.1,4538,0.1-10MB,Free,0.0,Everyone,Personalization,160
FINANCE,4.6,964,10.1-20MB,Free,0.0,Everyone,Finance,80
PERSONALIZATION,4.3,1,10.1-20MB,Free,0.0,Teen,Personalization,698
FAMILY,4.3,13330,70.1-80MB,Free,0.0,Everyone,Puzzle;Brain Games,99
FAMILY,3.9,7,0.1-10MB,Free,0.0,Everyone,Entertainment,74
FAMILY,4.5,2751,0.1-10MB,Free,0.0,Everyone,Education,77
LIFESTYLE,3.1,212,10.1-20MB,Free,0.0,Everyone,Lifestyle,339
COMMUNICATION,4.5,88,0.1-10MB,Paid,4.99,Everyone,Communication,105
TOOLS,4.5,474439,0.1-10MB,Free,0.0,Everyone,Tools,66
COMICS,3.2,1446,0.1-10MB,Free,0.0,Mature 17+,Comics,105
FAMILY,4.6,31134,40.1-50MB,Free,0.0,Everyone 10+,Role Playing,29
TOOLS,4.3,9,0.1-10MB,Free,0.0,Everyone,Tools,57
NEWS_AND_MAGAZINES,4.1,185058,0.1-10MB,Free,0.0,Teen,News & Magazines,30
TOOLS,3.8,67,0.1-10MB,Free,0.0,Everyone,Tools,816
DATING,4.3,0,30.1-40MB,Free,0.0,Mature 17+,Dating,49
FAMILY,4.6,73,10.1-20MB,Paid,2.99,Everyone,Education;Pretend Play,102
PHOTOGRAPHY,4.4,635846,10.1-20MB,Free,0.0,Everyone,Photography,100
MEDICAL,3.0,315,20.1-30MB,Free,0.0,Everyone,Medical,325
SPORTS,4.3,1,20.1-30MB,Free,0.0,Everyone,Sports,193
GAME,4.3,696019,Varies with device,Free,0.0,Everyone 10+,Arcade,97
EDUCATION,4.5,172508,70.1-80MB,Free,0.0,Everyone,Education;Education,65
COMICS,4.4,238970,20.1-30MB,Free,0.0,Teen,Comics,53
MEDICAL,4.5,199,0.1-10MB,Paid,11.99,Everyone,Medical,65
ART_AND_DESIGN,4.3,132,0.1-10MB,Free,0.0,Everyone,Art & Design,239
NEWS_AND_MAGAZINES,4.3,0,0.1-10MB,Free,0.0,Everyone,News & Magazines,87
TOOLS,4.4,1774,0.1-10MB,Paid,1.99,Everyone,Tools,330
BUSINESS,4.6,5800,0.1-10MB,Free,0.0,Everyone,Business,29
TOOLS,3.9,478,0.1-10MB,Free,0.0,Everyone,Tools,718
FAMILY,4.6,401211,Varies with device,Free,0.0,Everyone,Entertainment,44
FAMILY,4.5,1303,10.1-20MB,Free,0.0,Everyone,Entertainment,38
FAMILY,4.6,9952,0.1-10MB,Free,0.0,Teen,Entertainment,787
NEWS_AND_MAGAZINES,3.9,63647,20.1-30MB,Free,0.0,Everyone 10+,News & Magazines,30
FAMILY,2.8,107441,30.1-40MB,Free,0.0,Everyone,Casual;Action & Adventure,52
GAME,4.5,547644,20.1-30MB,Free,0.0,Teen,Action,28
GAME,4.5,910051,70.1-80MB,Free,0.0,Teen,Card,29
MEDICAL,4.5,163,0.1-10MB,Paid,1.99,Everyone,Medical,1124
FINANCE,4.3,2,30.1-40MB,Free,0.0,Everyone,Finance,174
