Category,Rating,Reviews,Size,Type,Price,Content Rating,Genres,Last Updated
FAMILY,4.3,3,0.1-10MB,Free,0,Teen,Entertainment,"July 26, 2015"
FAMILY,4.8,65,50.1-60MB,Free,0,Everyone,Education,"November 19, 2017"
NEWS_AND_MAGAZINES,4.9,198,0.1-10MB,Free,0,Everyone,News & Magazines,"May 29, 2018"
GAME,4.6,26138,10.1-20MB,Free,0,Everyone,Action,"February 14, 2018"
FAMILY,4.3,20,20.1-30MB,Free,0,Everyone,Casual,"May 27, 2015"
FINANCE,4.3,12,0.1-10MB,Free,0,Everyone,Finance,"January 22, 2018"
SPORTS,4.8,1664,10.1-20MB,Free,0,Everyone,Sports,"July 31, 2018"
GAME,4.5,23599,90.1-100MB,Free,0,Teen,Action,"June 1, 2018"
EVENTS,4.3,1,10.1-20MB,Free,0,Everyone,Events,"June 14, 2018"
TOOLS,4.3,80,0.1-10MB,Free,0,Everyone,Tools,"March 20, 2018"
PHOTOGRAPHY,4.3,42079,10.1-20MB,Free,0,Everyone,Photography,"September 24, 2015"
PARENTING,4.1,44,0.1-10MB,Free,0,Everyone,Parenting,"August 7, 2018"
HEALTH_AND_FITNESS,4.2,270294,50.1-60MB,Free,0,Everyone,Health & Fitness,"July 31, 2018"
TOOLS,4.3,36,10.1-20MB,Free,0,Everyone,Tools,"August 21, 2017"
SPORTS,4.1,142,0.1-10MB,Free,0,Everyone,Sports,"June 7, 2018"
MAPS_AND_NAVIGATION,4.2,41225,Varies with device,Free,0,Everyone,Maps & Navigation,"August 3, 2018"
GAME,4.4,18652,60.1-70MB,Paid,2.99,Everyone,Board,"July 4, 2018"
FINANCE,3.7,112,0.1-10MB,Free,0,Everyone,Finance,"July 5, 2018"
FAMILY,4.0,3788,30.1-40MB,Free,0,Everyone,Entertainment,"July 18, 2018"
FAMILY,4.3,4,30.1-40MB,Free,0,Everyone,Puzzle,"October 5, 2016"
NEWS_AND_MAGAZINES,4.3,23641,20.1-30MB,Free,0,Everyone 10+,News & Magazines,"June 29, 2018"
BOOKS_AND_REFERENCE,4.3,0,0.1-10MB,Free,0,Everyone,Books & Reference,"February 14, 2018"
VIDEO_PLAYERS,4.6,36969,20.1-30MB,Free,0,Everyone,Video Players & Editors,"August 6, 2018"
FAMILY,4.4,83,80.1-90MB,Free,0,Everyone,Education,"June 28, 2018"
PERSONALIZATION,4.6,6466641,Varies with device,Free,0,Teen,Personalization,"July 19, 2018"
SHOPPING,3.9,16678,Varies with device,Free,0,Everyone,Shopping,"July 25, 2018"
PRODUCTIVITY,4.1,22,0.1-10MB,Free,0,Everyone,Productivity,"July 22, 2018"
FINANCE,4.3,24,60.1-70MB,Free,0,Everyone,Finance,"April 18, 2018"
FINANCE,2.9,19,0.1-10MB,Free,0,Everyone,Finance,"June 26, 2017"
BOOKS_AND_REFERENCE,3.3,1862,10.1-20MB,Free,0,Everyone,Books & Reference,"April 27, 2018"
FAMILY,5.0,25,Varies with device,Free,0,Everyone,Education,"January 29, 2018"
SPORTS,4.2,277904,Varies with device,Free,0,Mature 17+,Sports,"August 2, 2018"
HEALTH_AND_FITNESS,4.3,0,0.1-10MB,Paid,0.99,Everyone,Health & Fitness,"November 27, 2017"
FAMILY,4.4,23302,10.1-20MB,Free,0,Everyone,Puzzle,"March 24, 2018"
PERSONALIZATION,4.3,2538,0.1-10MB,Paid,2.99,Everyone,Personalization,"March 23, 2018"
SHOPPING,4.4,35563,0.1-10MB,Free,0,Everyone,Shopping,"July 23, 2018"
PARENTING,5.0,1,20.1-30MB,Free,0,Everyone,Parenting,"January 19, 2018"
MEDICAL,4.6,15537,Varies with device,Free,0,Everyone,Medical,"August 1, 2018"
VIDEO_PLAYERS,3.1,2689,Varies with device,Free,0,Everyone,Video Players & Editors,"July 18, 2018"
PHOTOGRAPHY,4.2,348,0.1-10MB,Free,0,Everyone,Photography,"April 11, 2014"
SPORTS,4.7,163,0.1-10MB,Paid,0.99,Everyone,Sports,"October 6, 2017"
HEALTH_AND_FITNESS,4.4,44939,Varies with device,Free,0,Everyone,Health & Fitness,"June 14, 2018"
PERSONALIZATION,4.3,2,10.1-20MB,Free,0,Teen,Personalization,"March 5, 2017"
FINANCE,4.2,257,40.1-50MB,Free,0,Everyone,Finance,"July 31, 2018"
FAMILY,4.6,28,20.1-30MB,Free,0,Everyone,Puzzle,"January 16, 2018"
SOCIAL,4.3,3806669,Varies with device,Free,0,Mature 17+,Social,"August 1, 2018"
HEALTH_AND_FITNESS,4.5,1203,0.1-10MB,Free,0,Everyone,Health & Fitness,"October 16, 2016"
FAMILY,4.4,265,0.1-10MB,Free,0,Everyone,Entertainment,"January 6, 2017"
BOOKS_AND_REFERENCE,5.0,4,0.1-10MB,Free,0,Everyone,Books & Reference,"March 15, 2018"
GAME,4.4,2610622,40.1-50MB,Free,0,Everyone,Arcade,"July 3, 2018"
MEDICAL,4.3,1,20.1-30MB,Free,0,Everyone,Medical,"November 30, 2017"
SPORTS,4.5,36255,20.1-30MB,Free,0,Everyone,Sports,"August 1, 2018"
TOOLS,3.9,18751,0.1-10MB,Free,0,Everyone,Tools,"June 19, 2018"
LIFESTYLE,4.4,13565,0.1-10MB,Free,0,Everyone,Lifestyle,"August 5, 2018"
FOOD_AND_DRINK,4.3,1,10.1-20MB,Free,0,Everyone,Food & Drink,"March 29, 2017"
NEWS_AND_MAGAZINES,4.5,256680,10.1-20MB,Free,0,Everyone,News & Magazines,"July 24, 2018"
SPORTS,4.3,3,0.1-10MB,Free,0,Everyone,Sports,"June 21, 2018"
FAMILY,4.6,1481,0.1-10MB,Free,0,Teen,Entertainment,"March 31, 2018"
TOOLS,4.8,1456,10.1-20MB,Free,0,Everyone,Tools,"November 14, 2016"
TOOLS,4.5,12759815,10.1-20MB,Free,0,Everyone,Tools,"July 25, 2018"
MEDICAL,2.9,92,0.1-10MB,Free,0,Everyone,Medical,"June 15, 2018"
TOOLS,3.4,7816,0.1-10MB,Free,0,Everyone,Tools,"July 30, 2016"
GAME,4.0,23168,50.1-60MB,Free,0,Teen,Adventure,"July 9, 2018"
FAMILY,4.0,20763,Varies with device,Free,0,Everyone,Educational;Education,"March 6, 2018"
MAPS_AND_NAVIGATION,1.9,179,0.1-10MB,Free,0,Everyone,Maps & Navigation,"March 13, 2018"
GAME,4.7,705,0.1-10MB,Free,0,Everyone,Board,"July 28, 2015"
HEALTH_AND_FITNESS,3.9,232153,Varies with device,Free,0,Everyone,Health & Fitness,"August 2, 2018"
FAMILY,3.2,37584,30.1-40MB,Free,0,Everyone,Casual;Pretend Play,"August 31, 2016"
PERSONALIZATION,3.6,5,40.1-50MB,Paid,1.49,Everyone,Personalization,"September 1, 2017"
HEALTH_AND_FITNESS,3.7,5559,0.1-10MB,Free,0,Everyone,Health & Fitness,"March 15, 2016"
FAMILY,4.3,0,0.1-10MB,Free,0,Everyone,Entertainment,"May 18, 2018"
FOOD_AND_DRINK,4.3,82,0.1-10MB,Free,0,Everyone,Food & Drink,"June 23, 2018"
MEDICAL,4.3,0,0.1-10MB,Free,0,Everyone,Medical,"April 26, 2018"
GAME,4.5,27711703,70.1-80MB,Free,0,Everyone 10+,Arcade,"July 12, 2018"
GAME,3.8,47386,90.1-100MB,Free,0,Everyone,Racing,"June 6, 2018"
GAME,4.3,47698,0.1-10MB,Free,0,Everyone,Board,"April 12, 2016"
FAMILY,3.7,3482,30.1-40MB,Free,0,Everyone,Casual,"August 7, 2018"
FAMILY,4.3,1,20.1-30MB,Free,0,Everyone,Entertainment,"December 12, 2017"
HEALTH_AND_FITNESS,4.6,48226,20.1-30MB,Free,0,Everyone,Health & Fitness,"March 5, 2018"
GAME,4.0,484981,Varies with device,Free,0,Everyone 10+,Strategy,"June 15, 2018"
WEATHER,3.3,115,0.1-10MB,Free,0,Everyone,Weather,"February 23, 2017"
EVENTS,4.3,5,0.1-10MB,Free,0,Everyone,Events,"August 4, 2018"
SPORTS,4.3,7,0.1-10MB,Free,0,Everyone,Sports,"June 13, 2018"
MEDICAL,4.3,3,0.1-10MB,Paid,0.99,Everyone,Medical,"January 22, 2014"
TRAVEL_AND_LOCAL,3.5,30447,70.1-80MB,Free,0,Everyone,Travel & Local,"July 20, 2018"
BEAUTY,4.0,1,0.1-10MB,Free,0,Everyone,Beauty,"August 30, 2017"
GAME,4.3,10306,40.1-50MB,Free,0,Mature 17+,Action,"August 1, 2018"
BOOKS_AND_REFERENCE,4.2,27,0.1-10MB,Free,0,Everyone,Books & Reference,"February 7, 2018"
FINANCE,3.9,1098,40.1-50MB,Free,0,Everyone,Finance,"May 9, 2018"
TRAVEL_AND_LOCAL,4.3,100,10.1-20MB,Free,0,Everyone,Travel & Local,"April 1, 2017"
HEALTH_AND_FITNESS,4.0,50,10.1-20MB,Free,0,Everyone,Health & Fitness,"July 3, 2018"
HEALTH_AND_FITNESS,2.4,44,40.1-50MB,Free,0,Everyone,Health & Fitness,"August 1, 2018"
BUSINESS,4.3,0,50.1-60MB,Free,0,Everyone,Business,"February 1, 2018"
GAME,4.7,295241,0.1-10MB,Free,0,Everyone,Word,"June 6, 2018"
TOOLS,4.0,177,0.1-10MB,Free,0,Everyone,Tools,"May 4, 2015"
HOUSE_AND_HOME,4.5,8481,0.1-10MB,Free,0,Everyone,House & Home,"August 3, 2018"
BUSINESS,4.3,4,10.1-20MB,Free,0,Everyone,Business,"November 25, 2016"
FOOD_AND_DRINK,4.3,0,10.1-20MB,Free,0,Everyone,Food & Drink,"November 30, 2016"
PERSONALIZATION,4.1,169,20.1-30MB,Free,0,Everyone,Personalization,"March 25, 2018"
BOOKS_AND_REFERENCE,4.5,246315,Varies with device,Free,0,Everyone,Books & Reference,"July 17, 2015"
FINANCE,4.2,283,0.1-10MB,Free,0,Everyone,Finance,"April 26, 2018"
FAMILY,4.0,5886,50.1-60MB,Free,0,Everyone,Simulation,"May 28, 2018"
VIDEO_PLAYERS,4.5,641219,Varies with device,Free,0,Everyone,Video Players & Editors,"July 26, 2018"
HEALTH_AND_FITNESS,4.4,26540,40.1-50MB,Free,0,Everyone,Health & Fitness,"February 9, 2017"
MEDICAL,4.3,0,0.1-10MB,Free,0,Everyone,Medical,"June 25, 2018"
LIFESTYLE,4.3,0,0.1-10MB,Free,0,Everyone,Lifestyle,"June 1, 2017"
MEDICAL,4.1,80,40.1-50MB,Paid,14.99,Everyone,Medical,"November 5, 2013"
FAMILY,3.3,353,0.1-10MB,Free,0,Everyone,Entertainment,"December 4, 2017"
TOOLS,3.9,21,10.1-20MB,Free,0,Everyone,Tools,"January 19, 2018"
FAMILY,4.0,15875,30.1-40MB,Free,0,Teen,Simulation,"March 3, 2017"
TRAVEL_AND_LOCAL,4.0,26665,0.1-10MB,Free,0,Everyone,Travel & Local,"March 29, 2018"
COMMUNICATION,2.3,223,0.1-10MB,Paid,1.49,Everyone,Communication,"July 26, 2014"
TRAVEL_AND_LOCAL,4.4,221,30.1-40MB,Free,0,Everyone,Travel & Local,"April 6, 2018"
GAME,4.2,522466,30.1-40MB,Free,0,Mature 17+,Role Playing,"June 19, 2018"
LIFESTYLE,4.2,29756,40.1-50MB,Free,0,Everyone,Lifestyle,"July 19, 2018"
DATING,4.2,7779,10.1-20MB,Free,0,Mature 17+,Dating,"August 3, 2018"
BOOKS_AND_REFERENCE,4.5,12322,20.1-30MB,Free,0,Everyone,Books & Reference,"December 17, 2016"
FOOD_AND_DRINK,4.3,511228,Varies with device,Free,0,Everyone,Food & Drink,"August 1, 2018"
GAME,4.3,3,30.1-40MB,Free,0,Mature 17+,Action,"September 22, 2017"
BEAUTY,3.9,2277,20.1-30MB,Free,0,Everyone,Beauty,"July 12, 2018"
FAMILY,4.3,1838090,Varies with device,Free,0,Everyone 10+,Casual,"July 27, 2018"
TOOLS,5.0,3,20.1-30MB,Free,0,Everyone,Tools,"May 28, 2018"
PHOTOGRAPHY,4.2,140917,0.1-10MB,Free,0,Everyone,Photography,"June 11, 2018"
TOOLS,4.3,514,0.1-10MB,Free,0,Everyone,Tools,"February 12, 2018"
SOCIAL,4.3,0,0.1-10MB,Free,0,Teen,Social,"June 13, 2018"
FAMILY,4.5,205914,50.1-60MB,Free,0,Everyone,Education,"August 3, 2018"
GAME,4.4,4920817,Varies with device,Free,0,Everyone 10+,Arcade,"June 15, 2018"
FAMILY,4.2,5,0.1-10MB,Free,0,Everyone,Entertainment,"April 13, 2018"
PHOTOGRAPHY,4.5,559931,Varies with device,Free,0,Everyone,Photography,"May 10, 2018"
LIFESTYLE,3.2,5,0.1-10MB,Free,0,Everyone,Lifestyle,"May 13, 2015"
COMMUNICATION,4.8,6,20.1-30MB,Free,0,Everyone,Communication,"July 4, 2018"
LIFESTYLE,4.3,96,0.1-10MB,Free,0,Everyone,Lifestyle,"November 25, 2014"
PRODUCTIVITY,4.3,0,20.1-30MB,Free,0,Everyone,Productivity,"June 28, 2018"
MEDICAL,4.2,45,10.1-20MB,Paid,4.99,Everyone,Medical,"August 18, 2015"
FINANCE,4.7,130582,20.1-30MB,Free,0,Everyone,Finance,"August 2, 2018"
HEALTH_AND_FITNESS,4.5,32606,Varies with device,Free,0,Everyone,Health & Fitness,"March 22, 2018"
GAME,3.6,33,70.1-80MB,Free,0,Teen,Casino,"June 6, 2017"
TOOLS,4.6,262076,0.1-10MB,Free,0,Everyone,Tools,"January 4, 2018"
GAME,4.4,125652,50.1-60MB,Free,0,Everyone,Action,"June 18, 2018"
HEALTH_AND_FITNESS,4.6,20301,20.1-30MB,Free,0,Everyone,Health & Fitness,"May 16, 2018"
BUSINESS,3.4,15,0.1-10MB,Free,0,Everyone,Business,"March 10, 2016"
AUTO_AND_VEHICLES,4.0,1981,10.1-20MB,Free,0,Everyone,Auto & Vehicles,"August 1, 2018"
PERSONALIZATION,4.3,0,0.1-10MB,Free,0,Teen,Personalization,"October 5, 2017"
FAMILY,4.5,46369,30.1-40MB,Free,0,Everyone,Educational;Brain Games,"July 13, 2018"
FAMILY,4.4,8,0.1-10MB,Free,0,Everyone,Education,"June 5, 2018"
FAMILY,3.6,783,20.1-30MB,Free,0,Teen,Entertainment,"June 25, 2016"
MEDICAL,4.3,460,10.1-20MB,Free,0,Everyone,Medical,"July 12, 2018"
SPORTS,4.8,1660,0.1-10MB,Free,0,Everyone,Sports,"June 5, 2018"
PHOTOGRAPHY,4.3,125259,Varies with device,Free,0,Everyone,Photography,"August 2, 2018"
PERSONALIZATION,4.5,314,10.1-20MB,Free,0,Everyone,Personalization,"September 8, 2016"
FOOD_AND_DRINK,4.1,46539,Varies with device,Free,0,Teen,Food & Drink,"July 23, 2018"
PERSONALIZATION,4.7,1891,0.1-10MB,Free,0,Everyone,Personalization,"May 24, 2018"
LIFESTYLE,3.6,1067,Varies with device,Free,0,Everyone,Lifestyle,"March 20, 2018"
GAME,4.2,93608,Varies with device,Free,0,Everyone,Action,"February 9, 2018"
PRODUCTIVITY,4.3,1,0.1-10MB,Paid,2.99,Everyone,Productivity,"June 29, 2018"
FAMILY,3.7,291,30.1-40MB,Free,0,Everyone,Simulation,"September 14, 2017"
GAME,4.3,22773,Varies with device,Free,0,Mature 17+,Action,"August 3, 2018"
FOOD_AND_DRINK,4.6,90242,10.1-20MB,Free,0,Everyone,Food & Drink,"July 31, 2018"
ENTERTAINMENT,4.5,653008,10.1-20MB,Free,0,Everyone,Entertainment,"June 20, 2018"
BUSINESS,4.3,0,0.1-10MB,Free,0,Everyone,Business,"April 5, 2013"
SPORTS,4.9,1211,10.1-20MB,Free,0,Everyone,Sports,"January 22, 2018"
LIFESTYLE,4.2,10944,30.1-40MB,Free,0,Everyone,Lifestyle,"June 15, 2018"
PHOTOGRAPHY,4.1,7479,10.1-20MB,Free,0,Everyone,Photography,"April 16, 2018"
BUSINESS,4.1,423,10.1-20MB,Free,0,Everyone,Business,"June 7, 2018"
PERSONALIZATION,4.4,77609,0.1-10MB,Free,0,Everyone,Personalization,"April 24, 2015"
FAMILY,4.6,99,10.1-20MB,Free,0,Teen,Strategy,"June 8, 2018"
FINANCE,4.7,178,10.1-20MB,Free,0,Everyone,Finance,"June 12, 2018"
SPORTS,4.3,0,20.1-30MB,Free,0,Everyone,Sports,"February 27, 2018"
GAME,4.2,249308,50.1-60MB,Free,0,Everyone,Arcade,"September 7, 2017"
PRODUCTIVITY,4.1,4513,Varies with device,Free,0,Everyone,Productivity,"March 4, 2018"
HEALTH_AND_FITNESS,4.8,432160,10.1-20MB,Free,0,Everyone,Health & Fitness,"June 28, 2018"
MEDICAL,3.1,253,0.1-10MB,Free,0,Everyone,Medical,"September 12, 2016"
TOOLS,4.0,3840,0.1-10MB,Free,0,Everyone,Tools,"June 2, 2017"
BUSINESS,4.3,0,0.1-10MB,Free,0,Everyone,Business,"April 27, 2018"
GAME,4.4,22429716,70.1-80MB,Free,0,Everyone,Casual,"July 5, 2018"
MEDICAL,4.1,12,0.1-10MB,Paid,1.99,Everyone,Medical,"March 2, 2017"
FAMILY,4.4,14774,10.1-20MB,Free,0,Everyone,Casual;Brain Games,"July 23, 2018"
SPORTS,4.3,101,0.1-10MB,Free,0,Everyone,Sports,"July 15, 2018"
LIFESTYLE,3.0,543,90.1-100MB,Free,0,Everyone,Lifestyle,"July 2, 2018"
LIFESTYLE,3.8,6554,70.1-80MB,Free,0,Teen,Lifestyle,"June 20, 2018"
BOOKS_AND_REFERENCE,4.1,70,0.1-10MB,Paid,0.99,Everyone,Books & Reference,"August 30, 2013"
FAMILY,4.7,84389,40.1-50MB,Free,0,Everyone,Role Playing,"August 5, 2018"
LIFESTYLE,3.6,1067,Varies with device,Free,0,Everyone,Lifestyle,"March 20, 2018"
BUSINESS,4.0,1,0.1-10MB,Free,0,Everyone,Business,"March 15, 2017"
MEDICAL,2.6,5,20.1-30MB,Free,0,Everyone,Medical,"May 5, 2017"
FAMILY,4.7,78,10.1-20MB,Free,0,Everyone,Education,"October 12, 2017"
COMMUNICATION,4.3,298041,Varies with device,Free,0,Everyone,Communication,"July 3, 2018"
PRODUCTIVITY,4.1,661,0.1-10MB,Free,0,Everyone,Productivity,"June 21, 2018"
TOOLS,3.2,427,0.1-10MB,Free,0,Everyone,Tools,"May 4, 2018"
PERSONALIZATION,4.6,655,0.1-10MB,Free,0,Everyone,Personalization,"May 8, 2018"
FAMILY,5.0,3,0.1-10MB,Free,0,Everyone,Education,"August 1, 2018"
FAMILY,4.6,6231,30.1-40MB,Free,0,Everyone,Educational;Pretend Play,"July 13, 2018"
SPORTS,4.1,34123,10.1-20MB,Free,0,Everyone,Sports,"March 30, 2018"
FAMILY,4.3,726,10.1-20MB,Paid,4.99,Everyone,Simulation,"December 9, 2016"
BUSINESS,3.0,2,0.1-10MB,Free,0,Everyone,Business,"July 10, 2018"
DATING,1.9,953,10.1-20MB,Free,0,Mature 17+,Dating,"July 18, 2018"
SPORTS,4.2,277939,Varies with device,Free,0,Mature 17+,Sports,"August 2, 2018"
PHOTOGRAPHY,4.1,76484,Varies with device,Free,0,Everyone,Photography,"June 8, 2018"
PERSONALIZATION,4.3,63624,0.1-10MB,Free,0,Everyone,Personalization,"November 20, 2017"
PRODUCTIVITY,4.3,26452,0.1-10MB,Free,0,Everyone,Productivity,"November 3, 2014"
GAME,3.8,489,30.1-40MB,Free,0,Everyone 10+,Arcade,"March 17, 2015"
TOOLS,4.5,87055,Varies with device,Free,0,Everyone,Tools,"January 3, 2017"
GAME,4.1,39895,20.1-30MB,Free,0,Mature 17+,Adventure,"January 2, 2018"
BUSINESS,3.2,116,Varies with device,Free,0,Everyone,Business,"June 13, 2018"
GAME,3.8,466,20.1-30MB,Paid,0.99,Everyone,Arcade,"March 28, 2017"
WEATHER,4.3,0,0.1-10MB,Free,0,Everyone,Weather,"April 12, 2018"
EVENTS,4.4,663,0.1-10MB,Free,0,Everyone,Events,"October 14, 2017"
BUSINESS,4.3,23175,40.1-50MB,Free,0,Everyone,Business,"July 13, 2018"
SPORTS,4.0,9971,30.1-40MB,Free,0,Everyone,Sports,"June 5, 2018"
TOOLS,4.4,52,0.1-10MB,Free,0,Everyone,Tools,"March 17, 2018"
MAPS_AND_NAVIGATION,4.5,56443,40.1-50MB,Free,0,Everyone,Maps & Navigation,"June 26, 2018"
FAMILY,4.7,6073,0.1-10MB,Free,0,Mature 17+,Simulation,"February 25, 2018"
SOCIAL,4.1,8,0.1-10MB,Free,0,Teen,Social,"July 14, 2017"
FAMILY,4.6,19640,60.1-70MB,Free,0,Teen,Simulation,"May 18, 2018"
PRODUCTIVITY,4.8,5865,10.1-20MB,Paid,4.49,Everyone,Productivity,"July 18, 2018"
VIDEO_PLAYERS,4.6,4016834,Varies with device,Free,0,Everyone,Video Players & Editors,"July 23, 2018"
TOOLS,4.5,954,0.1-10MB,Free,0,Teen,Tools,"July 11, 2016"
WEATHER,4.0,634,Varies with device,Free,0,Everyone,Weather,"June 15, 2018"
BUSINESS,4.4,9,30.1-40MB,Free,0,Everyone,Business,"March 14, 2018"
BUSINESS,5.0,2,20.1-30MB,Free,0,Everyone,Business,"July 24, 2018"
BUSINESS,4.3,85185,20.1-30MB,Free,0,Everyone,Business,"July 17, 2018"
GAME,3.9,85317,0.1-10MB,Free,0,Everyone,Board,"January 15, 2018"
DATING,3.5,13202,0.1-10MB,Free,0,Mature 17+,Dating,"July 7, 2018"
TRAVEL_AND_LOCAL,4.4,22776,50.1-60MB,Free,0,Everyone,Travel & Local,"August 6, 2018"
FAMILY,4.1,120,30.1-40MB,Free,0,Everyone,Casual,"March 13, 2018"
FINANCE,4.5,166,0.1-10MB,Free,0,Everyone,Finance,"January 7, 2018"
FAMILY,4.0,4607,10.1-20MB,Free,0,Everyone,Simulation,"March 12, 2018"
BOOKS_AND_REFERENCE,4.2,860,10.1-20MB,Free,0,Everyone,Books & Reference,"July 17, 2018"
EDUCATION,3.8,828,Varies with device,Free,0,Everyone,Education,"October 1, 2017"
FAMILY,4.2,3593,10.1-20MB,Free,0,Everyone,Board;Brain Games,"March 7, 2018"
MEDICAL,3.5,214,60.1-70MB,Paid,33.99,Everyone,Medical,"October 2, 2017"
EDUCATION,4.4,55256,10.1-20MB,Free,0,Everyone,Education,"June 19, 2018"
PERSONALIZATION,4.7,127,0.1-10MB,Free,0,Everyone,Personalization,"May 4, 2018"
BUSINESS,4.3,3,0.1-10MB,Free,0,Everyone,Business,"July 16, 2015"
TRAVEL_AND_LOCAL,4.3,1,20.1-30MB,Free,0,Everyone,Travel & Local,"August 19, 2017"
TOOLS,5.0,1,0.1-10MB,Free,0,Everyone,Tools,"November 29, 2017"
PHOTOGRAPHY,4.5,420973,Varies with device,Free,0,Everyone,Photography,"August 2, 2018"
HEALTH_AND_FITNESS,5.0,4,10.1-20MB,Free,0,Everyone,Health & Fitness,"March 23, 2018"
TOOLS,4.6,85496,0.1-10MB,Free,0,Everyone,Tools,"February 14, 2018"
GAME,4.3,6,20.1-30MB,Free,0,Everyone,Music,"May 15, 2018"
GAME,4.1,140,40.1-50MB,Free,0,Mature 17+,Card,"May 31, 2017"
SOCIAL,4.0,3677,40.1-50MB,Free,0,Mature 17+,Social,"June 21, 2018"
SOCIAL,2.9,90,20.1-30MB,Free,0,Mature 17+,Social,"July 9, 2018"
MAPS_AND_NAVIGATION,4.2,301413,40.1-50MB,Free,0,Everyone,Maps & Navigation,"August 1, 2018"
GAME,4.3,309176,60.1-70MB,Free,0,Everyone 10+,Simulation,"August 2, 2018"
LIFESTYLE,4.2,251,0.1-10MB,Free,0,Everyone,Lifestyle,"March 22, 2018"
NEWS_AND_MAGAZINES,4.3,10,0.1-10MB,Free,0,Everyone,News & Magazines,"October 27, 2015"
SOCIAL,4.3,88,0.1-10MB,Free,0,Everyone,Social,"January 24, 2018"
SHOPPING,4.3,95520,10.1-20MB,Free,0,Teen,Shopping,"August 3, 2018"
WEATHER,4.3,15,0.1-10MB,Free,0,Everyone,Weather,"February 20, 2017"
GAME,3.8,469,70.1-80MB,Free,0,Everyone,Adventure,"May 19, 2017"
NEWS_AND_MAGAZINES,4.6,413999,0.1-10MB,Free,0,Teen,News & Magazines,"August 3, 2018"
FAMILY,4.1,435,10.1-20MB,Free,0,Everyone,Education,"June 21, 2018"
PHOTOGRAPHY,4.0,32896,30.1-40MB,Free,0,Everyone,Photography,"March 14, 2018"
SHOPPING,4.4,25717,Varies with device,Free,0,Teen,Shopping,"July 31, 2018"
FAMILY,4.2,4,0.1-10MB,Free,0,Teen,Entertainment,"June 24, 2015"
HOUSE_AND_HOME,4.3,2,0.1-10MB,Free,0,Everyone,House & Home,"November 24, 2017"
BUSINESS,4.6,4159,40.1-50MB,Free,0,Everyone,Business,"July 20, 2018"
SHOPPING,3.4,620,30.1-40MB,Free,0,Everyone,Shopping,"March 13, 2018"
FAMILY,4.7,30,Varies with device,Paid,7.49,Everyone,Educational;Education,"May 16, 2018"
LIFESTYLE,4.3,246201,Varies with device,Free,0,Everyone,Lifestyle,"July 23, 2018"
FAMILY,4.1,321,0.1-10MB,Free,0,Everyone,Education,"February 14, 2015"
LIFESTYLE,4.1,47497,30.1-40MB,Free,0,Everyone,Lifestyle,"June 8, 2018"
TRAVEL_AND_LOCAL,4.3,2339098,Varies with device,Free,0,Everyone,Travel & Local,"June 18, 2018"
GAME,4.6,260651,50.1-60MB,Free,0,Everyone,Arcade,"February 14, 2018"
