Category,Rating,Reviews,Size,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
MAPS_AND_NAVIGATION,4.2,41225,Varies with device,Free,0,Everyone,Maps & Navigation,"August 3, 2018",Varies with device,Varies with device
GAME,4.4,18652,63M,Paid,$2.99,Everyone,Board,"July 4, 2018",2.1.2,4.4 and up
FINANCE,3.7,112,3.9M,Free,0,Everyone,Finance,"July 5, 2018",1.1.1,5.0 and up
FAMILY,4.0,3788,32M,Free,0,Everyone,Entertainment,"July 18, 2018",3.0.1,4.1 and up
FAMILY,,4,34M,Free,0,Everyone,Puzzle,"October 5, 2016",1.0,4.0.3 and up
NEWS_AND_MAGAZINES,4.3,23641,23M,Free,0,Everyone 10+,News & Magazines,"June 29, 2018",3.9.0,4.1 and up
BOOKS_AND_REFERENCE,,0,8.7M,Free,0,Everyone,Books & Reference,"February 14, 2018",1.0.2,4.4 and up
VIDEO_PLAYERS,4.6,36969,27M,Free,0,Everyone,Video Players & Editors,"August 6, 2018",1.137.22,4.3 and up
FAMILY,4.4,83,85M,Free,0,Everyone,Education,"June 28, 2018",1.2,7.0 and up
PERSONALIZATION,4.6,6466641,Varies with device,Free,0,Teen,Personalization,"July 19, 2018",Varies with device,Varies with device
SHOPPING,3.9,16678,Varies with device,Free,0,Everyone,Shopping,"July 25, 2018",Varies with device,Varies with device
PRODUCTIVITY,4.1,22,2.4M,Free,0,Everyone,Productivity,"July 22, 2018",1.2.1,4.0.3 and up
FINANCE,,24,70M,Free,0,Everyone,Finance,"April 18, 2018",17.25.11,4.1 and up
FINANCE,2.9,19,2.2M,Free,0,Everyone,Finance,"June 26, 2017",1.6,4.4 and up
BOOKS_AND_REFERENCE,3.3,1862,19M,Free,0,Everyone,Books & Reference,"April 27, 2018",2.2.5,4.1 and up
FAMILY,5.0,25,Varies with device,Free,0,Everyone,Education,"January 29, 2018",Varies with device,4.0 and up
SPORTS,4.2,277904,Varies with device,Free,0,Mature 17+,Sports,"August 2, 2018",Varies with device,Varies with device
HEALTH_AND_FITNESS,,0,5.1M,Paid,$0.99,Everyone,Health & Fitness,"November 27, 2017",3.0.2.0,1.6 and up
FAMILY,4.4,23302,12M,Free,0,Everyone,Puzzle,"March 24, 2018",1.0.6,4.0 and up
PERSONALIZATION,4.3,2538,6.4M,Paid,$2.99,Everyone,Personalization,"March 23, 2018",1.5.1,4.1 and up
SHOPPING,4.4,35563,4.2M,Free,0,Everyone,Shopping,"July 23, 2018",10.2.1,4.1 and up
PARENTING,5.0,1,27M,Free,0,Everyone,Parenting,"January 19, 2018",Glueboardv.6,4.2 and up
MEDICAL,4.6,15537,Varies with device,Free,0,Everyone,Medical,"August 1, 2018",6.1.3,Varies with device
VIDEO_PLAYERS,3.1,2689,Varies with device,Free,0,Everyone,Video Players & Editors,"July 18, 2018",Varies with device,Varies with device
PHOTOGRAPHY,4.2,348,1.5M,Free,0,Everyone,Photography,"April 11, 2014",3.1.50,2.3.3 and up
SPORTS,4.7,163,4.6M,Paid,$0.99,Everyone,Sports,"October 6, 2017",3.9,4.1 and up
HEALTH_AND_FITNESS,4.4,44939,Varies with device,Free,0,Everyone,Health & Fitness,"June 14, 2018",Varies with device,Varies with device
PERSONALIZATION,,2,12M,Free,0,Teen,Personalization,"March 5, 2017",1.0,4.1 and up
FINANCE,4.2,257,44M,Free,0,Everyone,Finance,"July 31, 2018",2.2.12,4.4W and up
FAMILY,4.6,28,26M,Free,0,Everyone,Puzzle,"January 16, 2018",3.1.6z,4.0.3 and up
SOCIAL,4.3,3806669,Varies with device,Free,0,Mature 17+,Social,"August 1, 2018",Varies with device,Varies with device
HEALTH_AND_FITNESS,4.5,1203,6.5M,Free,0,Everyone,Health & Fitness,"October 16, 2016",1.2,2.3.3 and up
FAMILY,4.4,265,8.2M,Free,0,Everyone,Entertainment,"January 6, 2017",1.0.0,4.1 and up
BOOKS_AND_REFERENCE,5.0,4,3.9M,Free,0,Everyone,Books & Reference,"March 15, 2018",1.0.0,4.1 and up
GAME,4.4,2610622,46M,Free,0,Everyone,Arcade,"July 3, 2018",2.6.9,4.1 and up
MEDICAL,,1,29M,Free,0,Everyone,Medical,"November 30, 2017",300000.0.93,4.0.3 and up
SPORTS,4.5,36255,25M,Free,0,Everyone,Sports,"August 1, 2018",5.10.5,4.1 and up
TOOLS,3.9,18751,3.6M,Free,0,Everyone,Tools,"June 19, 2018",3.6,4.1 and up
LIFESTYLE,4.4,13565,3.3M,Free,0,Everyone,Lifestyle,"August 5, 2018",2.5,4.0 and up
FOOD_AND_DRINK,,1,19M,Free,0,Everyone,Food & Drink,"March 29, 2017",1.0,4.1 and up
NEWS_AND_MAGAZINES,4.5,256680,12M,Free,0,Everyone,News & Magazines,"July 24, 2018",6.7.15.7,4.0.3 and up
SPORTS,,3,4.8M,Free,0,Everyone,Sports,"June 21, 2018",1.5,4.4 and up
FAMILY,4.6,1481,3.1M,Free,0,Teen,Entertainment,"March 31, 2018",3.7,4.1 and up
TOOLS,4.8,1456,15M,Free,0,Everyone,Tools,"November 14, 2016",1.2,4.4 and up
TOOLS,4.5,12759815,15M,Free,0,Everyone,Tools,"July 25, 2018",3.1.2,4.0 and up
MEDICAL,2.9,92,1.5M,Free,0,Everyone,Medical,"June 15, 2018",3.1-2018 – (13),4.0 and up
TOOLS,3.4,7816,5.1M,Free,0,Everyone,Tools,"July 30, 2016",1.1.1,3.0 and up
GAME,4.0,23168,54M,Free,0,Teen,Adventure,"July 9, 2018",1.3.0,4.4 and up
FAMILY,4.0,20763,Varies with device,Free,0,Everyone,Educational;Education,"March 6, 2018",3.6.17,2.3 and up
MAPS_AND_NAVIGATION,1.9,179,10M,Free,0,Everyone,Maps & Navigation,"March 13, 2018",3.05,4.1 and up
GAME,4.7,705,1.8M,Free,0,Everyone,Board,"July 28, 2015",1.2.1,4.0.3 and up
HEALTH_AND_FITNESS,3.9,232153,Varies with device,Free,0,Everyone,Health & Fitness,"August 2, 2018",Varies with device,Varies with device
FAMILY,3.2,37584,34M,Free,0,Everyone,Casual;Pretend Play,"August 31, 2016",1.0.8,4.1 and up
PERSONALIZATION,3.6,5,45M,Paid,$1.49,Everyone,Personalization,"September 1, 2017",1.8.2,4.4 and up
HEALTH_AND_FITNESS,3.7,5559,3.7M,Free,0,Everyone,Health & Fitness,"March 15, 2016",22.0,4.0.3 and up
FAMILY,,0,3.8M,Free,0,Everyone,Entertainment,"May 18, 2018",1.0,4.0.3 and up
FOOD_AND_DRINK,,82,4.9M,Free,0,Everyone,Food & Drink,"June 23, 2018",1.1,4.1 and up
MEDICAL,,0,8.9M,Free,0,Everyone,Medical,"April 26, 2018",36,4.0.3 and up
GAME,4.5,27711703,76M,Free,0,Everyone 10+,Arcade,"July 12, 2018",1.90.0,4.1 and up
GAME,3.8,47386,96M,Free,0,Everyone,Racing,"June 6, 2018",31,4.2 and up
GAME,4.3,47698,4.1M,Free,0,Everyone,Board,"April 12, 2016",1.0.21,1.5 and up
FAMILY,3.7,3482,37M,Free,0,Everyone,Casual,"August 7, 2018",1.6,4.4 and up
FAMILY,,1,24M,Free,0,Everyone,Entertainment,"December 12, 2017",2.0.0,4.3 and up
HEALTH_AND_FITNESS,4.6,48226,28M,Free,0,Everyone,Health & Fitness,"March 5, 2018",3.1.9,4.0.3 and up
GAME,4.0,484981,Varies with device,Free,0,Everyone 10+,Strategy,"June 15, 2018",3.30.4.83,4.1 and up
WEATHER,3.3,115,5.1M,Free,0,Everyone,Weather,"February 23, 2017",1.4,4.1 and up
EVENTS,,5,6.1M,Free,0,Everyone,Events,"August 4, 2018",1.0.5,4.3 and up
SPORTS,,7,2.3M,Free,0,Everyone,Sports,"June 13, 2018",2.0.0,4.1 and up
MEDICAL,,3,97k,Paid,$0.99,Everyone,Medical,"January 22, 2014",2014.01,1.6 and up
TRAVEL_AND_LOCAL,3.5,30447,80M,Free,0,Everyone,Travel & Local,"July 20, 2018",2.1.56,5.0 and up
BEAUTY,4.0,1,2.2M,Free,0,Everyone,Beauty,"August 30, 2017",1.0,2.2 and up
GAME,4.3,10306,50M,Free,0,Mature 17+,Action,"August 1, 2018",1.0.8,2.3 and up
BOOKS_AND_REFERENCE,4.2,27,3.1M,Free,0,Everyone,Books & Reference,"February 7, 2018",1.1,4.0 and up
FINANCE,3.9,1098,46M,Free,0,Everyone,Finance,"May 9, 2018",4.10.0,4.4 and up
TRAVEL_AND_LOCAL,4.3,100,13M,Free,0,Everyone,Travel & Local,"April 1, 2017",6.0.18,4.1 and up
HEALTH_AND_FITNESS,4.0,50,15M,Free,0,Everyone,Health & Fitness,"July 3, 2018",2.14,4.4 and up
HEALTH_AND_FITNESS,2.4,44,49M,Free,0,Everyone,Health & Fitness,"August 1, 2018",V1.0.1,4.3 and up
BUSINESS,,0,55M,Free,0,Everyone,Business,"February 1, 2018",1.0,4.1 and up
GAME,4.7,295241,3.9M,Free,0,Everyone,Word,"June 6, 2018",1.1.3,3.0 and up
TOOLS,4.0,177,2.8M,Free,0,Everyone,Tools,"May 4, 2015",1.0.8,2.3 and up
HOUSE_AND_HOME,4.5,8481,7.5M,Free,0,Everyone,House & Home,"August 3, 2018",2.1.0,5.0 and up
BUSINESS,,4,12M,Free,0,Everyone,Business,"November 25, 2016",1.0.0,4.4 and up
FOOD_AND_DRINK,,0,12M,Free,0,Everyone,Food & Drink,"November 30, 2016",2.6.003,4.0 and up
PERSONALIZATION,4.1,169,24M,Free,0,Everyone,Personalization,"March 25, 2018",7,4.4 and up
BOOKS_AND_REFERENCE,4.5,246315,Varies with device,Free,0,Everyone,Books & Reference,"July 17, 2015",Varies with device,1.5 and up
FINANCE,4.2,283,5.0M,Free,0,Everyone,Finance,"April 26, 2018",2.5.0.26,5.0 and up
FAMILY,4.0,5886,54M,Free,0,Everyone,Simulation,"May 28, 2018",1.2,4.0 and up
VIDEO_PLAYERS,4.5,641219,Varies with device,Free,0,Everyone,Video Players & Editors,"July 26, 2018",5.2.2,4.1 and up
HEALTH_AND_FITNESS,4.4,26540,43M,Free,0,Everyone,Health & Fitness,"February 9, 2017",2.5.1,4.0.3 and up
MEDICAL,,0,3.4M,Free,0,Everyone,Medical,"June 25, 2018",1.0,4.0 and up
LIFESTYLE,,0,475k,Free,0,Everyone,Lifestyle,"June 1, 2017",1.0.0,2.3.3 and up
MEDICAL,4.1,80,48M,Paid,$14.99,Everyone,Medical,"November 5, 2013",1.0,3.0 and up
FAMILY,3.3,353,2.3M,Free,0,Everyone,Entertainment,"December 4, 2017",1.0,4.0.3 and up
TOOLS,3.9,21,11M,Free,0,Everyone,Tools,"January 19, 2018",1.2.0.27,5.0 and up
FAMILY,4.0,15875,40M,Free,0,Teen,Simulation,"March 3, 2017",1.5,4.2 and up
TRAVEL_AND_LOCAL,4.0,26665,10M,Free,0,Everyone,Travel & Local,"March 29, 2018",2.5.26,4.1 and up
COMMUNICATION,2.3,223,1.0M,Paid,$1.49,Everyone,Communication,"July 26, 2014",1.3,3.0 and up
TRAVEL_AND_LOCAL,4.4,221,33M,Free,0,Everyone,Travel & Local,"April 6, 2018",2.4,4.1 and up
GAME,4.2,522466,37M,Free,0,Mature 17+,Role Playing,"June 19, 2018",12.0.4.62276,4.0.3 and up
LIFESTYLE,4.2,29756,45M,Free,0,Everyone,Lifestyle,"July 19, 2018",1.1.6.1,4.1 and up
DATING,4.2,7779,12M,Free,0,Mature 17+,Dating,"August 3, 2018",6.1.3,5.0 and up
BOOKS_AND_REFERENCE,4.5,12322,27M,Free,0,Everyone,Books & Reference,"December 17, 2016",3.0,2.3 and up
FOOD_AND_DRINK,4.3,511228,Varies with device,Free,0,Everyone,Food & Drink,"August 1, 2018",Varies with device,Varies with device
GAME,4.3,3,39M,Free,0,Mature 17+,Action,"September 22, 2017",1.0,4.1 and up
BEAUTY,3.9,2277,22M,Free,0,Everyone,Beauty,"July 12, 2018",1.1.0,4.0.3 and up
FAMILY,4.3,1838090,Varies with device,Free,0,Everyone 10+,Casual,"July 27, 2018",Varies with device,4.1 and up
TOOLS,5.0,3,29M,Free,0,Everyone,Tools,"May 28, 2018",2.2.0,4.1 and up
PHOTOGRAPHY,4.2,140917,5.7M,Free,0,Everyone,Photography,"June 11, 2018",2.2.93,4.0 and up
TOOLS,4.3,514,8.4M,Free,0,Everyone,Tools,"February 12, 2018",1.8,4.4 and up
SOCIAL,,0,6.2M,Free,0,Teen,Social,"June 13, 2018",1.1,4.2 and up
FAMILY,4.5,205914,54M,Free,0,Everyone,Education,"August 3, 2018",5.54,4.1 and up
GAME,4.4,4920817,Varies with device,Free,0,Everyone 10+,Arcade,"June 15, 2018",Varies with device,Varies with device
FAMILY,4.2,5,3.3M,Free,0,Everyone,Entertainment,"April 13, 2018",1.1,4.0.3 and up
PHOTOGRAPHY,4.5,559931,Varies with device,Free,0,Everyone,Photography,"May 10, 2018",Varies with device,Varies with device
LIFESTYLE,3.2,5,9.5M,Free,0,Everyone,Lifestyle,"May 13, 2015",1.0,4.0 and up
COMMUNICATION,4.8,6,21M,Free,0,Everyone,Communication,"July 4, 2018",2.0,4.1 and up
LIFESTYLE,,96,1.0M,Free,0,Everyone,Lifestyle,"November 25, 2014",1.5,2.3 and up
PRODUCTIVITY,,0,30M,Free,0,Everyone,Productivity,"June 28, 2018",1.0,4.1 and up
MEDICAL,4.2,45,14M,Paid,$4.99,Everyone,Medical,"August 18, 2015",6.0,4.0 and up
FINANCE,4.7,130582,24M,Free,0,Everyone,Finance,"August 2, 2018",Varies with device,Varies with device
HEALTH_AND_FITNESS,4.5,32606,Varies with device,Free,0,Everyone,Health & Fitness,"March 22, 2018",Varies with device,Varies with device
GAME,3.6,33,71M,Free,0,Teen,Casino,"June 6, 2017",1.2,4.0.3 and up
TOOLS,4.6,262076,1.2M,Free,0,Everyone,Tools,"January 4, 2018",1.0.2,2.3 and up
GAME,4.4,125652,56M,Free,0,Everyone,Action,"June 18, 2018",3.3.0,4.2 and up
HEALTH_AND_FITNESS,4.6,20301,22M,Free,0,Everyone,Health & Fitness,"May 16, 2018",3.22,4.3 and up
BUSINESS,3.4,15,2.7M,Free,0,Everyone,Business,"March 10, 2016",3.2,2.2 and up
AUTO_AND_VEHICLES,4.0,1981,18M,Free,0,Everyone,Auto & Vehicles,"August 1, 2018",2.15.1.4,5.0 and up
PERSONALIZATION,,0,6.6M,Free,0,Teen,Personalization,"October 5, 2017",1.0,4.0 and up
FAMILY,4.5,46369,33M,Free,0,Everyone,Educational;Brain Games,"July 13, 2018",2.3,4.0.3 and up
FAMILY,4.4,8,3.3M,Free,0,Everyone,Education,"June 5, 2018",1.0.4,4.1 and up
FAMILY,3.6,783,25M,Free,0,Teen,Entertainment,"June 25, 2016",1.3.4,4.0 and up
MEDICAL,4.3,460,13M,Free,0,Everyone,Medical,"July 12, 2018",4.5.2,4.4 and up
SPORTS,4.8,1660,4.7M,Free,0,Everyone,Sports,"June 5, 2018",3.9,4.0.3 and up
PHOTOGRAPHY,4.3,125259,Varies with device,Free,0,Everyone,Photography,"August 2, 2018",Varies with device,Varies with device
PERSONALIZATION,4.5,314,11M,Free,0,Everyone,Personalization,"September 8, 2016",1.9,5.0 - 6.0
FOOD_AND_DRINK,4.1,46539,Varies with device,Free,0,Teen,Food & Drink,"July 23, 2018",Varies with device,Varies with device
PERSONALIZATION,4.7,1891,1.9M,Free,0,Everyone,Personalization,"May 24, 2018",10001008,4.0.3 and up
LIFESTYLE,3.6,1067,Varies with device,Free,0,Everyone,Lifestyle,"March 20, 2018",3.8.15,4.1 and up
GAME,4.2,93608,Varies with device,Free,0,Everyone,Action,"February 9, 2018",Varies with device,Varies with device
PRODUCTIVITY,,1,10M,Paid,$2.99,Everyone,Productivity,"June 29, 2018",6.0,4.0.3 and up
FAMILY,3.7,291,37M,Free,0,Everyone,Simulation,"September 14, 2017",2.04,4.1 and up
GAME,4.3,22773,Varies with device,Free,0,Mature 17+,Action,"August 3, 2018",4.84,4.1 and up
FOOD_AND_DRINK,4.6,90242,19M,Free,0,Everyone,Food & Drink,"July 31, 2018",9.15.0.2020,5.0 and up
ENTERTAINMENT,4.5,653008,16M,Free,0,Everyone,Entertainment,"June 20, 2018",9.1.4,4.4 and up
BUSINESS,,0,1.1M,Free,0,Everyone,Business,"April 5, 2013",1.1,2.1 and up
SPORTS,4.9,1211,15M,Free,0,Everyone,Sports,"January 22, 2018",1.0.1,4.4 and up
LIFESTYLE,4.2,10944,36M,Free,0,Everyone,Lifestyle,"June 15, 2018",2.0,4.1 and up
PHOTOGRAPHY,4.1,7479,13M,Free,0,Everyone,Photography,"April 16, 2018",5.4,4.0 and up
BUSINESS,4.1,423,20M,Free,0,Everyone,Business,"June 7, 2018",11.0,4.0.3 and up
PERSONALIZATION,4.4,77609,1.9M,Free,0,Everyone,Personalization,"April 24, 2015",1.14,1.6 and up
FAMILY,4.6,99,19M,Free,0,Teen,Strategy,"June 8, 2018",1.8.7,4.0.3 and up
FINANCE,4.7,178,12M,Free,0,Everyone,Finance,"June 12, 2018",5.9.1.0,5.0 and up
SPORTS,,0,26M,Free,0,Everyone,Sports,"February 27, 2018",1.0,4.1 and up
GAME,4.2,249308,55M,Free,0,Everyone,Arcade,"September 7, 2017",5.26,2.3 and up
PRODUCTIVITY,4.1,4513,Varies with device,Free,0,Everyone,Productivity,"March 4, 2018",Varies with device,Varies with device
HEALTH_AND_FITNESS,4.8,432160,15M,Free,0,Everyone,Health & Fitness,"June 28, 2018",Varies with device,Varies with device
MEDICAL,3.1,253,4.2M,Free,0,Everyone,Medical,"September 12, 2016",1.3.4,2.3.3 and up
TOOLS,4.0,3840,2.5M,Free,0,Everyone,Tools,"June 2, 2017",2.4,4.4 and up
BUSINESS,,0,4.2M,Free,0,Everyone,Business,"April 27, 2018",30.0.0,4.4 and up
GAME,4.4,22429716,74M,Free,0,Everyone,Casual,"July 5, 2018",1.129.0.2,4.1 and up
MEDICAL,4.1,12,5.1M,Paid,$1.99,Everyone,Medical,"March 2, 2017",1.2,4.1 and up
FAMILY,4.4,14774,19M,Free,0,Everyone,Casual;Brain Games,"July 23, 2018",1.9.3901,4.0.3 and up
SPORTS,4.3,101,3.9M,Free,0,Everyone,Sports,"July 15, 2018",5.4,4.1 and up
LIFESTYLE,3.0,543,94M,Free,0,Everyone,Lifestyle,"July 2, 2018",1.4.1(0629A),5.0 and up
LIFESTYLE,3.8,6554,76M,Free,0,Teen,Lifestyle,"June 20, 2018",9.4.2,4.1 and up
BOOKS_AND_REFERENCE,4.1,70,3.5M,Paid,$0.99,Everyone,Books & Reference,"August 30, 2013",1.3,2.1 and up
FAMILY,4.7,84389,48M,Free,0,Everyone,Role Playing,"August 5, 2018",1.375,4.0.3 and up
LIFESTYLE,3.6,1067,Varies with device,Free,0,Everyone,Lifestyle,"March 20, 2018",3.8.15,4.1 and up
BUSINESS,4.0,1,5.4M,Free,0,Everyone,Business,"March 15, 2017",1.10,4.0 and up
MEDICAL,2.6,5,27M,Free,0,Everyone,Medical,"May 5, 2017",300000.0.79,4.0.3 and up
FAMILY,4.7,78,11M,Free,0,Everyone,Education,"October 12, 2017",2.9.0,4.1 and up
COMMUNICATION,4.3,298041,Varies with device,Free,0,Everyone,Communication,"July 3, 2018",Varies with device,Varies with device
PRODUCTIVITY,4.1,661,3.4M,Free,0,Everyone,Productivity,"June 21, 2018",2.1.2,4.1 and up
TOOLS,3.2,427,9.5M,Free,0,Everyone,Tools,"May 4, 2018",1.7.6,2.2 and up
PERSONALIZATION,4.6,655,3.5M,Free,0,Everyone,Personalization,"May 8, 2018",4.3,4.1 and up
FAMILY,5.0,3,4.0M,Free,0,Everyone,Education,"August 1, 2018",1.0.5,4.4 and up
FAMILY,4.6,6231,31M,Free,0,Everyone,Educational;Pretend Play,"July 13, 2018",2.6,4.0.3 and up
SPORTS,4.1,34123,19M,Free,0,Everyone,Sports,"March 30, 2018",7.1.0,5.0 and up
FAMILY,4.3,726,19M,Paid,$4.99,Everyone,Simulation,"December 9, 2016",3.8.4,2.3.3 and up
BUSINESS,3.0,2,8.0M,Free,0,Everyone,Business,"July 10, 2018",1.4.5,4.1 and up
DATING,1.9,953,19M,Free,0,Mature 17+,Dating,"July 18, 2018",6.3.7,5.0 and up
SPORTS,4.2,277939,Varies with device,Free,0,Mature 17+,Sports,"August 2, 2018",Varies with device,Varies with device
PHOTOGRAPHY,4.1,76484,Varies with device,Free,0,Everyone,Photography,"June 8, 2018",3.52,4.0 and up
PERSONALIZATION,4.3,63624,10M,Free,0,Everyone,Personalization,"November 20, 2017",11.0,4.0.3 and up
PRODUCTIVITY,4.3,26452,4.0M,Free,0,Everyone,Productivity,"November 3, 2014",2.3.5,2.1 and up
GAME,3.8,489,36M,Free,0,Everyone 10+,Arcade,"March 17, 2015",1.0.3.1,4.0 and up
TOOLS,4.5,87055,Varies with device,Free,0,Everyone,Tools,"January 3, 2017",Varies with device,Varies with device
GAME,4.1,39895,25M,Free,0,Mature 17+,Adventure,"January 2, 2018",1.2.3,4.1 and up
BUSINESS,3.2,116,Varies with device,Free,0,Everyone,Business,"June 13, 2018",Varies with device,Varies with device
GAME,3.8,466,28M,Paid,$0.99,Everyone,Arcade,"March 28, 2017",1.00.02,4.1 and up
WEATHER,,0,3.9M,Free,0,Everyone,Weather,"April 12, 2018",1.0,5.0 and up
EVENTS,4.4,663,6.0M,Free,0,Everyone,Events,"October 14, 2017",1.1.3,4.1 and up
BUSINESS,4.3,23175,41M,Free,0,Everyone,Business,"July 13, 2018",18.7,4.1 and up
SPORTS,4.0,9971,33M,Free,0,Everyone,Sports,"June 5, 2018",7.1,5.0 and up
TOOLS,4.4,52,3.0M,Free,0,Everyone,Tools,"March 17, 2018",2.0,4.3 and up
MAPS_AND_NAVIGATION,4.5,56443,43M,Free,0,Everyone,Maps & Navigation,"June 26, 2018",6.2.0,4.1 and up
FAMILY,4.7,6073,8.5M,Free,0,Mature 17+,Simulation,"February 25, 2018",4.2.2,2.3 and up
SOCIAL,4.1,8,4.4M,Free,0,Teen,Social,"July 14, 2017",0.0.9,4.1 and up
FAMILY,4.6,19640,67M,Free,0,Teen,Simulation,"May 18, 2018",2.0,4.4 and up
PRODUCTIVITY,4.8,5865,15M,Paid,$4.49,Everyone,Productivity,"July 18, 2018",1.0,4.1 and up
VIDEO_PLAYERS,4.6,4016834,Varies with device,Free,0,Everyone,Video Players & Editors,"July 23, 2018",Varies with device,Varies with device
TOOLS,4.5,954,7.6M,Free,0,Teen,Tools,"July 11, 2016",0.4.1,4.1 and up
WEATHER,4.0,634,Varies with device,Free,0,Everyone,Weather,"June 15, 2018",1.0.34,4.1 and up
BUSINESS,4.4,9,31M,Free,0,Everyone,Business,"March 14, 2018",2.0.14,4.1 and up
BUSINESS,5.0,2,23M,Free,0,Everyone,Business,"July 24, 2018",1.29,4.4 and up
BUSINESS,4.3,85185,29M,Free,0,Everyone,Business,"July 17, 2018",3.4.2,5.0 and up
GAME,3.9,85317,4.5M,Free,0,Everyone,Board,"January 15, 2018",1.54,4.0.3 and up
DATING,3.5,13202,6.1M,Free,0,Mature 17+,Dating,"July 7, 2018",2.4.1,4.1 and up
TRAVEL_AND_LOCAL,4.4,22776,55M,Free,0,Everyone,Travel & Local,"August 6, 2018",4.7.1,5.0 and up
FAMILY,4.1,120,32M,Free,0,Everyone,Casual,"March 13, 2018",2.0,4.1 and up
